action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Locomotion,1,,#c c walk around the streets,"Body moving through space, indicative of walking.",r001,Walking Outdoors,Gold,,71.24661,02497a97-5de2-469c-b2e9-c940b78c2060
Locomotion,1,,#C C negotiates the junction,"Body moving through space, navigating a junction involves walking.",r001,Walking Outdoors,Gold,,2196.2193100000004,02497a97-5de2-469c-b2e9-c940b78c2060
Locomotion,1,,#C C walks towards the ball,Body moving through space.,r001,Playing Instrument,Gold,,46.4748886,0296707b-0b42-45dd-98dc-ca8ce0a26a50
Search,1,,#C C looks aside,"Head movement (visual search), hands mostly still.",r001,Playing Instrument,Gold,,67.4956886,0296707b-0b42-45dd-98dc-ca8ce0a26a50
Object Transfer,1,,#C C picks shakers,Logistics/Setup step (picking up an object).,r001,Playing Instrument,Gold,,80.4698586,0550b3f4-94a5-4e91-a00f-316d4a1d4d59
Locomotion,1,,#C C steps on therevox,Body moving through space to step on an object.,r001,Playing Instrument,,Skip,396.1208959242188,0550b3f4-94a5-4e91-a00f-316d4a1d4d59
Essential Operation,1,,#C C plays #unsure,Core manual task involving high hand activity.,r001,Playing Instrument,Gold,,489.0412559242188,0550b3f4-94a5-4e91-a00f-316d4a1d4d59
Essential Operation,1,,#C C shakes the maraca,Core task involving high hand activity.,r001,Playing Instrument,Gold,,898.5204083656251,0550b3f4-94a5-4e91-a00f-316d4a1d4d59
Object Transfer,1,,#C C puts the maraca on the stand,"Logistics/Setup step, placing object on a surface.",r001,Playing Instrument,Gold,,918.843798365625,0550b3f4-94a5-4e91-a00f-316d4a1d4d59
Essential Operation,1,,#C C beats the drum,Core task involving repetitive hand movements.,r001,Playing Instrument,Gold,,1846.9437651722656,0550b3f4-94a5-4e91-a00f-316d4a1d4d59
Locomotion,1,,#C C walks on the garden,"Movement through space, indicative of walking.",r001,Gardening,Gold,,364.1442392852933,06456897-960d-4d0c-8ce2-cd50a5a57bc3
