global_rank,video_uid,timestamp_sec,narration_text,scenario,action,reasoning,batch,round,normalized_narration_stage2,dataset_rows_covered_if_validated,high_priority_review,high_priority_reason,watchlist_hit,historical_bad_count,historical_checked_count,historical_bad_rate,verdict,task_id,project,inner_id,corrected_action,secondary_action
2157,02497a97-5de2-469c-b2e9-c940b78c2060,1971.2861366666664,#C C negotiates the corner,Walking Outdoors,Locomotion,"Body moving through space, turning a corner involves significant body acceleration.",4,r002,negotiates corner,8,no,,no,0,0,0.0,Gold,1001,2,1,,
10833,02ca6897-bf08-4cfb-bbc7-7810dbf5cca2,25.5239,#C C negotiates the junction.,Mechanical Repair,Stationary,"Negotiation implies communication, which typically involves low body and hand motion.",4,r002,negotiates junction,3,no,,no,0,0,0.0,Bad,1002,2,2,Task Operation,
1474,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,4.9748386,#C C pulls a card,Playing Instrument,Object Transfer,"Logistics action (pulling a card), involves picking up and moving an object.",4,r002,pulls card,10,no,,no,0,0,0.0,Gold,1003,2,3,,
11633,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,12.4918386,#C C places the card beneath cards,Playing Instrument,Object Transfer,"Logistics step, placing an object.",4,r002,places card beneath cards,3,no,,no,0,0,0.0,Gold,1004,2,4,,
4680,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,14.3015986,#C C inserts card beneath cards,Playing Instrument,Object Transfer,"Logistics step, inserting a card.",4,r002,inserts card beneath cards,5,no,,no,0,0,0.0,Gold,1005,2,5,,
279,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,37.7640886,#O person X picks cards,Playing Instrument,Object Transfer,Logistics/Setup step involving picking up objects (cards).,4,r002,person x picks cards,24,no,,no,0,0,0.0,Gold,1006,2,6,,
10998,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,42.1126986,#O person X spreads cards,Playing Instrument,Stationary,The action of spreading cards is a setup/logistics step with minimal body movement.,4,r002,person x spreads cards,3,no,,no,0,0,0.0,Bad,1007,2,7,Object Transfer,
17,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,60.4855386,#C C spreads the cards,Playing Instrument,Stationary,"The action of spreading cards is typically done while standing or sitting still, with minimal body movement.",4,r002,spreads cards,92,yes,historical_bad,no,8,8,1.0,Bad,1008,2,8,Object Transfer,
10997,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,83.1681986,#O person X spreads cards,Playing Instrument,Object Transfer,Logistics/Setup step involving spreading cards.,4,r002,person x spreads cards,3,no,,no,0,0,0.0,Gold,1009,2,9,,
2243,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,149.55841859999998,#C C places cards down,Playing Instrument,Object Transfer,Logistics/Setup step involving placing cards down.,4,r002,places cards down,8,no,,no,0,0,0.0,Gold,1010,2,10,,
2762,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,179.50708859999995,#O person X hits cards on table,Playing Instrument,Task Operation,Core task involving active hand movement.,4,r002,person x hits cards on table,7,no,,no,0,0,0.0,Gold,1011,2,11,,
7004,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,203.7512186,#O person X inserts card beneath cards,Playing Instrument,Object Transfer,Logistics step involving inserting a card.,4,r002,person x inserts card beneath cards,4,no,,no,0,0,0.0,Gold,1012,2,12,,
1759,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,219.1158486,#O person X places the cards on table,Playing Instrument,Object Transfer,Logistics step of placing cards on table.,4,r002,person x places cards on table,9,no,,no,0,0,0.0,Gold,1013,2,13,,
3591,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,242.8413086,#O person X places card on table,Playing Instrument,Object Transfer,"Logistics/Setup step, placing an object (card) on a surface (table).",4,r002,person x places card on table,6,no,,no,0,0,0.0,Gold,1014,2,14,,
1361,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,247.2169886,#C C and X spreads cards,Playing Instrument,Object Transfer,"Logistics step, spreading cards involves picking up and placing down cards.",4,r002,and x spreads cards,10,no,,no,0,0,0.0,Gold,1015,2,15,,
10962,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,360.3609687026078,#O person X bends,Playing Instrument,Locomotion,"Body movement through space, indicative of bending motion.",4,r002,person x bends,3,no,,no,0,0,0.0,Gold,1016,2,16,,
9305,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,371.82148870260784,#O person X moves the cards on table,Playing Instrument,Object Transfer,"Logistics step involving moving cards, short bursts of hand activity.",4,r002,person x moves cards on table,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1017,2,17,,
8765,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,568.1425621677084,#C C holds cards with right hand,Playing Instrument,Stationary,"Low body/hand motion, holding position.",4,r002,holds cards with right hand,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1018,2,18,,
11000,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,696.8229121677084,#O person X stares at card,Playing Instrument,Stationary,"Low body/hand motion, visual focus.",4,r002,person x stares at card,3,no,,no,0,0,0.0,Bad,1019,2,19,Search,
2670,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,726.1664021677084,#C C hits cards on table,Playing Instrument,Task Operation,Core manual task involving active hand movement.,4,r002,hits cards on table,7,no,,no,0,0,0.0,Gold,1020,2,20,,
10959,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,850.2959927880181,#O person X arranges cards,Playing Instrument,Object Transfer,"Logistics step involving arranging cards, short bursts of hand activity.",4,r002,person x arranges cards,3,no,,no,0,0,0.0,Gold,1021,2,21,,
10960,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,859.5155027880182,#O person X arranges cards,Playing Instrument,Stationary,"The action involves arranging cards, which is a low-energy activity with minimal body movement.",4,r002,person x arranges cards,3,no,,no,0,0,0.0,Bad,1022,2,22,Object Transfer,
1060,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,934.0737027880182,#C C stares at card,Playing Instrument,Stationary,"Low body/hand motion, likely focused gaze.",4,r002,stares at card,12,no,,no,0,0,0.0,Bad,1023,2,23,Search,
107,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1080.6759661213514,#C C turns cards,Playing Instrument,Stationary,"The action 'turns cards' suggests a low-energy, stationary activity with minimal body movement.",4,r002,turns cards,39,no,,no,0,0,0.0,Bad,1024,2,24,Object Transfer,
248,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1396.4375753695222,#O Woman Y puts card down,Playing Instrument,Stationary,"The action of putting a card down is a brief, stationary motion.",4,r002,woman y puts card down,25,yes,historical_bad,no,4,6,0.6667,Bad,1025,2,25,Object Transfer,
5815,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1463.4917953695222,#O Woman Y arranges cards,Playing Instrument,Stationary,The action described involves arranging cards which is a low energy activity with minimal movement.,4,r002,woman y arranges cards,5,no,,no,1,1,1.0,Bad,1026,2,26,Object Transfer,
2558,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1606.4145987028555,#O Woman Y moves hands,Playing Instrument,Task Operation,Core task involving high hand activity.,4,r002,woman y moves hands,7,yes,watchlist_verb,yes,0,0,0.0,Bad,1027,2,27,Stationary,
3491,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1657.068408834375,#O lady Y takes cards,Playing Instrument,Object Transfer,Logistics/Setup step (taking cards).,4,r002,lady y takes cards,6,no,,no,0,0,0.0,Gold,1028,2,28,,
3490,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1661.503408834375,#O lady Y puts cards on the table,Playing Instrument,Object Transfer,"Logistics step, placing cards on the table.",4,r002,lady y puts cards on table,6,no,,no,0,0,0.0,Gold,1029,2,29,,
3213,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1672.642678834375,#O lady Y holds cards,Playing Instrument,Stationary,"The action of holding cards indicates a low energy, stationary state.",4,r002,lady y holds cards,6,yes,watchlist_verb,yes,0,0,0.0,Gold,1030,2,30,,
900,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1738.818438834375,#C C takes a box,Playing Instrument,Object Transfer,Logistics/Setup step (taking an object).,4,r002,takes box,13,no,,no,0,0,0.0,Gold,1031,2,31,,
46,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1828.999228834375,#C C plays cards,Playing Instrument,Stationary,"Low body/hand motion, primarily involves holding and manipulating cards.",4,r002,plays cards,59,yes,historical_bad,no,4,6,0.6667,Bad,1032,2,32,Task Operation,
3489,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1851.946618834375,#O lady Y arranges cards,Playing Instrument,Stationary,The action describes a setup or organizational task that likely involves minimal movement.,4,r002,lady y arranges cards,6,no,,no,1,1,1.0,Bad,1033,2,33,Object Transfer,
10362,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1865.737938834375,#O lady Y shuffles cards,Playing Instrument,Stationary,"The action described ('shuffling cards') is a manual task but is listed in a context that doesn't involve locomotion or significant body movement, indicating a stationary activity.",4,r002,lady y shuffles cards,3,no,,no,0,0,0.0,Bad,1034,2,34,Object Transfer,
10799,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1965.6039899235584,#O man Y turns a card,Playing Instrument,Stationary,"The action described does not involve significant body or hand movement, implying a low-energy state.",4,r002,man y turns card,3,no,,no,0,0,0.0,Bad,1035,2,35,Object Transfer,
363,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2022.8473799235585,#O man Y takes a card,Playing Instrument,Object Transfer,"The action involves picking up or taking an object, which is a logistics step.",4,r002,man y takes card,20,no,,no,0,0,0.0,Gold,1036,2,36,,
10237,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2109.7877699235587,#C C gives the cards to man Y,Playing Instrument,Object Transfer,Logistics step of giving an object (cards) to another person.,4,r002,gives cards to man y,3,no,,no,0,0,0.0,Gold,1037,2,37,,
5527,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2191.8773619333338,#C C shares the cards,Playing Instrument,Stationary,The action described seems to be a card-related activity that does not involve significant body or hand movement.,4,r002,shares cards,5,no,,no,1,1,1.0,Bad,1038,2,38,Object Transfer,
1151,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2244.309361933333,#O lady X plays the cards,Playing Instrument,Stationary,"Playing cards involves minimal body movement, mostly hands and fingers, which does not constitute high acceleration or significant motion.",4,r002,lady x plays cards,11,no,,no,0,0,0.0,Bad,1039,2,39,Task Operation,
6712,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2344.0491519333336,#O lady X shuffles the cards,Playing Instrument,Stationary,The action of shuffling cards is more about holding and manipulating the cards rather than moving through space or performing a high-energy task.,4,r002,lady x shuffles cards,4,no,,no,0,0,0.0,Bad,1040,2,40,Object Transfer,
4705,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2444.6663520360653,#O lady X shares the cards,Playing Instrument,Stationary,"The action involves sharing cards, which is likely a low-energy, stationary interaction.",4,r002,lady x shares cards,5,no,,no,0,0,0.0,Bad,1041,2,41,Object Transfer,
4635,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2459.977502036065,#C C flips the cards,Playing Instrument,Stationary,The action of flipping cards does not involve significant body movement and can be considered a low-energy activity.,4,r002,flips cards,5,no,,no,0,0,0.0,Bad,1042,2,42,Object Transfer,
700,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2817.8723355010416,#O woman Y holds cards,Playing Instrument,Stationary,Holding cards without moving through space or performing a core task.,4,r002,woman y holds cards,14,yes,watchlist_verb,yes,0,0,0.0,Gold,1043,2,43,,
9421,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2823.413145501041,#O woman Y moves card,Playing Instrument,Stationary,The action described does not indicate any significant movement or activity that would classify it under the other categories. It suggests a static or minimal motion action.,4,r002,woman y moves card,3,yes,watchlist_verb,yes,0,0,0.0,Bad,1044,2,44,Object Transfer,
4392,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2909.0291255010416,#O woman Y moves hand,Playing Instrument,Task Operation,"Core task involving hand movement, likely playing the instrument.",4,r002,woman y moves hand,5,yes,watchlist_verb,yes,0,0,0.0,Bad,1045,2,45,Stationary,
6232,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2944.6217355010417,#O woman Y shuffles cards,Playing Instrument,Stationary,The action of shuffling cards is a manual task but is typically performed in a stationary position with minimal body movement.,4,r002,woman y shuffles cards,4,yes,historical_bad,no,2,2,1.0,Bad,1046,2,46,Object Transfer,
10363,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,3231.844129435098,#O lady Y takes card on the table,Playing Instrument,Object Transfer,"The action involves picking up or placing an object, which corresponds to logistics or setup.",4,r002,lady y takes card on table,3,no,,no,0,0,0.0,Gold,1047,2,47,,
3127,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,3403.4497786,#O woman Y puts cards down,Playing Instrument,Object Transfer,"The action involves putting down objects (cards), which is a logistics step.",4,r002,woman y puts cards down,7,no,,no,0,0,0.0,Gold,1048,2,48,,
2986,0a01978c-e16d-4587-95f1-49efa3ab15d9,41.1108096,#C C removes the #unsure from the oil,Cooking,Task Operation,"Core task involving hand activity, likely removing something from the cooking oil.",4,r002,removes from oil,7,no,,no,0,0,0.0,Bad,1049,2,49,Object Transfer,
3412,0a01978c-e16d-4587-95f1-49efa3ab15d9,47.661629600000005,#C C drops the knife and the fork,Cooking,Object Transfer,"[CtxFixed] The action of dropping the knife and the fork is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",4,r002,drops knife and fork,6,no,,no,0,0,0.0,Gold,1050,2,50,,
9588,0a01978c-e16d-4587-95f1-49efa3ab15d9,78.1198096,#C C checks if the #unsure is ready,Cooking,Search,"Head movement (visual check), hands mostly still.",4,r002,checks if is ready,3,no,,no,0,0,0.0,Gold,1051,2,51,,
8938,0a01978c-e16d-4587-95f1-49efa3ab15d9,233.4042296,#C C holds the #unsure with a spoon,Cooking,Stationary,"Low body/hand motion, holding an object.",4,r002,holds with spoon,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1052,2,52,,
