"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Locomotion",1185,"3",1,"","2026-02-22T17:23:08.887155Z",1126741,5.629,"#c c walk around the streets","Body moving through space, indicative of walking.","r001","Walking Outdoors","silver","Gold","",71.24661,"2026-02-22T17:23:08.887190Z","02497a97-5de2-469c-b2e9-c940b78c2060"
"Stationary",1243,"8",2,"Essential Operation","2026-02-22T21:58:59.505120Z",1128247,19.965,"#C C stretches bedsheet","Low body/hand motion, more about adjusting position rather than movement through space.","r001","Cleaning","silver","Bad","",2324.134980954664,"2026-02-22T21:58:59.505149Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Essential Operation",1244,"8",2,"","2026-02-22T22:02:22.595693Z",1128248,105.096,"#C C cuts out some part of the plastic cord inside the cable with the wire cutter.","Core manual task involving high hand activity.","r001","Carpentry","silver","Gold","",252.7664096,"2026-02-22T22:02:22.595708Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Stationary",1245,"8",2,"Essential Operation","2026-02-22T22:02:38.811209Z",1128249,13.9,"#C C hooks the wire cutter to his trousers with his right hand. #Unsure","The action involves attaching an object to clothing, which is a brief and stationary motion with low energy.","r001","Carpentry","silver","Bad","",935.3795152666668,"2026-02-22T22:02:38.811242Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Stationary",1246,"8",2,"","2026-02-22T22:02:43.339123Z",1128250,3.67,"#C C speaks to child Z.","Low body/hand motion.","r001","Cooking","silver","Gold","",1182.1465542879969,"2026-02-22T22:02:43.339137Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",1247,"8",2,"","2026-02-22T22:02:47.031285Z",1128251,2.616,"#C C puts the dough on the counter.","Logistics step, moving the dough to the counter.","r001","Cooking","silver","Gold","",1460.3320342879967,"2026-02-22T22:02:47.031300Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Essential Operation",1248,"8",2,"","2026-02-22T22:02:48.956202Z",1128252,1.036,"#C C plays a piano","Core task involving high hand activity and precision.","r001","Cooking","silver","Gold","",4144.293330954663,"2026-02-22T22:02:48.956225Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Stationary",1249,"8",2,"","2026-02-22T22:03:01.665819Z",1128253,11.927,"#C C touches the paint brush with his left hand","Low body/hand motion, likely preparing to use the brush.","r001","Mechanical Repair","silver","Gold","",284.8670186,"2026-02-22T22:03:01.665833Z","0cb2dd94-afb1-4e30-a62f-724f34d81777"
"Essential Operation",1250,"8",2,"","2026-02-22T22:03:06.070685Z",1128254,3.465,"#C C brushes the wooden rail with the paint brush","Core manual task involving high hand activity.","r001","Mechanical Repair","silver","Gold","",341.0092886,"2026-02-22T22:03:06.070701Z","0cb2dd94-afb1-4e30-a62f-724f34d81777"
"Stationary",1251,"8",2,"","2026-02-22T22:03:08.923469Z",1128255,2.01,"#C C touches the paint brush on his left hand","Low body/hand motion, likely holding the brush.","r001","Mechanical Repair","silver","Gold","",504.2821586,"2026-02-22T22:03:08.923493Z","0cb2dd94-afb1-4e30-a62f-724f34d81777"
