action,annotation_id,annotator,batch,corrected_action,created_at,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,id,lead_time,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,status,timestamp_sec,updated_at,verdict,video_uid,watchlist_hit
Object Transfer,13240,6,6,,2026-03-03T18:48:16.392915Z,10,1355,watchlist_verb,yes,0,0.0,0,1149275,10.596,#C C opens the washing machine door,opens washing machine door,Logistics action involving opening a door.,r002,Cleaning,,silver,22.0735486,2026-03-03T18:50:23.662155Z,Gold,001e3e4e-2743-47fc-8564-d5efd11f9e90,yes
Object Transfer,13241,6,6,,2026-03-03T18:48:31.997352Z,4,8285,,no,0,0.0,0,1149276,14.653,#C C takes the t-shirt from the clothes horse,takes t shirt from clothes horse,"Logistics/Setup step, involves picking up an object.",r002,Cleaning,,silver,10.1377786,2026-03-03T18:48:31.997367Z,Gold,01ce4fd6-197a-4792-8778-775b03780369,no
Object Transfer,13242,6,6,,2026-03-03T18:48:53.643860Z,4,8245,,no,0,0.0,0,1149277,2.25,#C C takes the clothes from the office desk,takes clothes from office desk,Logistics step involving picking up and moving an object.,r002,Cleaning,,silver,96.8207286,2026-03-03T18:48:53.643875Z,Gold,01ce4fd6-197a-4792-8778-775b03780369,no
Stationary,13243,6,6,,2026-03-03T18:48:56.792484Z,3,8773,watchlist_verb,yes,0,0.0,0,1149278,2.113,#C C holds the clothes horse,holds clothes horse,"Low body/hand motion, holding an object without movement.",r002,Cleaning,,silver,105.0120186,2026-03-03T18:48:56.792507Z,Gold,01ce4fd6-197a-4792-8778-775b03780369,yes
Locomotion,13244,6,6,,2026-03-03T18:48:59.052583Z,3,9122,watchlist_verb,yes,0,0.0,0,1149279,1.203,#C C moves the pan sideways,moves pan sideways,"Body moving through space, likely involves significant body acceleration.",r002,Cooking,,silver,176.03952859999998,2026-03-03T18:48:59.052606Z,Gold,024713b7-b198-4502-a114-02ca0485353b,yes
Object Transfer,13245,6,6,,2026-03-03T18:49:01.872169Z,3,11691,,no,0,0.0,0,1149280,1.88,#C C places garlic on the table,places garlic on table,Logistics step of moving the garlic to the table.,r002,Cooking,,silver,309.4494786458333,2026-03-03T18:49:01.872184Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Object Transfer,13246,6,6,,2026-03-03T18:49:04.122978Z,13,876,,no,0,0.0,0,1149281,1.211,#C C puts garlic on the chopping board,puts garlic on chopping board,"Logistics step, moving the garlic to the chopping board.",r002,Cooking,,silver,361.8326986458333,2026-03-03T18:49:04.123000Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Essential Operation,13247,6,6,,2026-03-03T18:49:14.869049Z,3,9933,,no,0,0.0,0,1149282,9.735,#C C drops the garlic on the chopping board,drops garlic on chopping board,"The action involves placing the garlic on the chopping board, which is a core manual task in the cooking process.",r002,Cooking,Object Transfer,silver,379.4562886458333,2026-03-03T18:49:14.869083Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Essential Operation,13248,6,6,,2026-03-03T18:49:17.011869Z,8,2165,,no,0,0.0,0,1149283,1.293,#C C peels garlic with a knife,peels garlic with knife,Core task involving manual dexterity and high hand activity.,r002,Cooking,,silver,422.34733864583336,2026-03-03T18:49:17.011893Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Object Transfer,13249,6,6,,2026-03-03T18:49:19.329441Z,4,6097,watchlist_verb,yes,0,0.0,0,1149284,1.302,#C C moves garlic on the chopping board,moves garlic on chopping board,"Logistics step, moving an object.",r002,Cooking,,silver,480.44234864583336,2026-03-03T18:49:19.329454Z,Gold,024713b7-b198-4502-a114-02ca0485353b,yes
