video_uid,scenario,split
000cd456-ff8d-499b-b0c1-4acead128a8b,Cleaning,multi
001e3e4e-2743-47fc-8564-d5efd11f9e90,Cleaning,train
002ad105-bd9a-4858-953e-54e88dc7587e,Cleaning,train
002c3b5c-ed86-4af3-99a1-4b497b7c8a86,Cooking,val
002d2729-df71-438d-8396-5895b349e8fd,Cooking,train
003a90b1-7960-44e2-ba2f-308ba83adc70,Gardening,train
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,Mechanical Repair,val
0091e812-f56f-4bd9-ad65-019fc97c1ffe,Playing Instrument,train
01111831-9107-43c4-bf0e-6b26e9b32a2b,Cleaning,train
01ce4fd6-197a-4792-8778-775b03780369,Cleaning,train
01d793c6-e235-4af1-8a1d-c70dcf0c8654,Carpentry,train
024713b7-b198-4502-a114-02ca0485353b,Cooking,train
02497a97-5de2-469c-b2e9-c940b78c2060,Walking Outdoors,train
025c24db-1ab3-462e-888a-3598fd777ee2,Playing Instrument,train
025c63c9-a371-4de7-87a9-ef3949040e8c,Walking Outdoors,train
02877cad-35c5-423b-8e93-11cf79fe4b31,Walking Outdoors,train
0296707b-0b42-45dd-98dc-ca8ce0a26a50,Playing Instrument,train
02bec245-e840-456d-b340-e7108c27dc08,Walking Outdoors,test
02ca6897-bf08-4cfb-bbc7-7810dbf5cca2,Mechanical Repair,train
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,Playing Instrument,val
03634630-7d25-4d31-aeda-b9747f09034d,Walking Outdoors,train
036ed5cd-297e-4592-97ee-0611adbc45d2,Mechanical Repair,train
0377792b-7b1e-4d67-86fd-f50c9257ea85,Carpentry,multi
0386e502-b034-4cb3-ab3e-f44c154f18dc,Walking Outdoors,train
03be7d83-7394-45b9-9f36-b55ad721aee1,Carpentry,val
045451d6-2916-4c07-8e47-7cfdaa579086,Playing Instrument,train
047c5e54-444f-463e-b677-be38e706a9ea,Mechanical Repair,multi
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,Cooking,train
053ae0a6-937d-4bdc-8001-d3dfe7899811,Walking Outdoors,train
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,Playing Instrument,train
055ba601-c243-4d4a-8a2c-694a5c88824c,Walking Outdoors,val
055f3cf1-1133-4260-b5a0-31e7ca1726a1,Cooking,test
057bf03d-b337-475c-82a2-79f0b5b6637f,Walking Outdoors,train
05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657,Walking Outdoors,train
05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,Playing Instrument,train
05d231ed-7457-441f-b8ff-1393576989bc,Desk Work,train
061df4a0-dbe4-4c05-bb44-e7cdc6b235c9,Mechanical Repair,val
06456897-960d-4d0c-8ce2-cd50a5a57bc3,Gardening,multi
064e10ee-10ae-4dec-a836-2ca94b02551c,Cleaning,train
067037a6-71a9-4850-ac51-59183eeb6359,Cleaning,train
067b03df-107c-4b7c-9dcc-eb9cdf56d682,Mechanical Repair,train
068626dd-73d3-4bc7-917e-e12e6445eab9,Mechanical Repair,train
071e9b05-7f92-48bd-9962-e8634d0f619f,Cleaning,train
07287862-edf9-45d8-a33b-853943d3aae5,Cooking,test
073d8415-2689-451c-a43d-147335ef0003,Desk Work,train
0755c2cb-eb91-4e44-aac6-19b5237befd5,Mechanical Repair,test
078634f1-0e81-455d-b771-3d35b65a2645,Walking Outdoors,train
07884569-3860-4a20-8c85-278eefbd678e,Playing Instrument,train
0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2,Cooking,val
07b21cda-51d1-490f-8b47-66babec20ce6,Playing Instrument,train
07b357ce-0bce-4d5e-b7ab-c16f1d4c7de6,Gardening,multi
08bd7380-821b-45b3-8fc7-01a0c6ed40ad,Cleaning,train
08f5fcdf-c038-4e1f-a1e9-b5939900feba,Cleaning,train
090042fc-0539-4a5b-b644-f3f6c8201711,Walking Outdoors,test
0928af96-a3fd-4930-9bc1-2fa43d01bb53,Gardening,train
0971527a-6cd3-4c82-9d94-09b3565f4505,Carpentry,val
099f6f96-5aa7-4da8-a5e0-2e8bc03beee6,Cleaning,train
09c98c4f-dc2a-429b-8afa-624211cd4bfd,Cleaning,multi
09ff369a-a147-4ba9-bfea-499b7fbe554f,Cooking,test
0a01978c-e16d-4587-95f1-49efa3ab15d9,Cooking,train
0a47c74a-dad9-42d5-b937-0f375490f034,Playing Instrument,train
0a90656a-eac8-49fa-a253-78f5626c8d5c,Cleaning,train
0ae6293e-eda5-44f7-b56e-e8f27fcde953,Cooking,train
0aed42ed-ed8c-4dfb-9a7f-bd47cc792633,Gardening,test
0afbf08b-09a5-4c15-a85a-5ebf88866443,Mechanical Repair,multi
0aff43b9-4b48-45f9-b67d-086f9390d8e2,Mechanical Repair,train
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,Mechanical Repair,val
0b703793-134a-4889-bc40-c19328d8f7cd,Cooking,train
0b8a87ed-07f2-4434-adde-a1c88f4bb30f,Mechanical Repair,val
0b90f635-f966-4b97-988d-6594183bc08d,Cooking,train
0be30efe-9d71-4698-8304-f1d441aeea58,Mechanical Repair,multi
0be670d2-3216-4261-ab73-f9941b69e04c,Desk Work,train
0c2a22d4-8f77-4558-b8f2-2efad1bda1f8,Desk Work,train
0c892917-34b9-4344-a8cf-d04ff885dc86,Cleaning,train
0c8c2f4b-a006-47ca-8826-133af1dfb632,Cleaning,train
0cb2dd94-afb1-4e30-a62f-724f34d81777,Mechanical Repair,train
0cb95a59-008a-4087-b8dc-2299ded5617d,Mechanical Repair,test
0cf71e76-0ed9-4fb9-875f-be49528105b7,Cleaning,train
0d06eef8-db05-441e-b8bd-9087d4279ed5,Mechanical Repair,train
0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73,Cooking,train
0d270946-95c5-4e71-ae49-b9e802548147,Cooking,val
0d825fa6-51fc-41d7-b179-db3b3a0b148f,Cleaning,train
0d8a3e5c-4263-4f80-b32d-39d4f33008ba,Mechanical Repair,multi
0daaa66c-fb5f-4680-b84c-2f65f0f0bd9b,Mechanical Repair,train
0dbabadf-c3d5-4e98-bb20-ce9d930c2474,Cleaning,train
0de39e75-fb19-47d4-818d-fff874b05ab9,Cleaning,train
0dedbbb0-d1a4-4231-a980-2b43acc08cb2,Gardening,train
0e417ecf-8900-484b-bfb3-ccafef9a185b,Walking Outdoors,train
0e529f0a-6432-4f2c-bbd1-e495c019f600,Cleaning,train
0e61fde0-18ed-44df-8328-816a4756f77e,Mechanical Repair,train
0ecba8a8-b84b-4020-9487-600f67f4ef5f,Cleaning,train
0f1024e6-ff80-46e2-aea8-3878f11bc1d7,Mechanical Repair,train
0f39b336-3e41-4305-9325-bb9cd74b8146,Cooking,train
0f809826-2ccb-4a75-abbd-81125f65994c,Cleaning,val
0fa75cb3-c4a0-4232-bdc4-15116ed39d88,Walking Outdoors,train
0fb8012d-430d-4b45-a8eb-5fd8cb43f5b0,Cooking,test
0fe191ef-c28a-422c-aede-46f8aa8532a6,Cooking,multi
0fedfa42-bfda-47c1-8f59-2c91b2c229fe,Cooking,train
10019839-9ded-439f-a573-5ccacd7d829d,Cleaning,train
10167fcf-348b-4697-8506-d2411af13df4,Walking Outdoors,train
105d3303-8e2d-4c20-96ff-e9a8ff325109,Cooking,train
106e9447-8a09-4e89-964e-61c927827a56,Cooking,val
1074214d-81aa-4dcf-865b-29816133d26c,Cooking,test
10a7fd5a-169d-4b0c-ba8b-825af7bd2117,Cooking,train
111ee12a-6af2-4bfc-8586-e706568fd078,Cleaning,val
1120c597-930c-49b7-8a61-f0dce9c31be5,Cooking,val
114cdc4b-4ae5-4938-8218-151e1e35b3db,Walking Outdoors,train
119cd9ee-665e-477c-a271-80c06e78e3d4,Carpentry,train
11f51f72-c0bd-4631-aabb-6ecbe17d95c9,Mechanical Repair,val
1237a78f-3a97-48e6-8ffc-81b49b64fc40,Cooking,test
1246d6ec-5620-4f71-8b4b-d823775f58c2,Cleaning,train
124d8745-52d7-464c-bb46-65b96bbdcffa,Desk Work,train
1252589c-8732-4404-ac89-d57f78634ce5,Mechanical Repair,train
127392a3-036a-4af6-9db9-ca00141229db,Carpentry,val
1286d04f-fe64-45f9-9253-de126f61164e,Walking Outdoors,test
12a0347f-b829-4c86-bf7a-407c96f7ad3e,Gardening,train
12bf3659-40c4-4094-a4d3-507ec04bc512,Cooking,val
12cc8ad3-5cee-457f-8657-1db8ed812558,Mechanical Repair,train
12d9adba-9c43-4445-8d52-9f7c8c169255,Walking Outdoors,train
1321d3aa-dc41-4bee-94a7-559536885b88,Cleaning,multi
1348c9f9-fc8b-40c7-b1ab-5b6281e5d390,Gardening,multi
13ad6098-f496-46a9-8085-c922b0ef99a8,Gardening,test
13af8d02-be9d-4d80-9999-aa4f31c455b9,Desk Work,train
13b99328-83c3-46ac-bf83-43cba4473489,Carpentry,train
13dbccdf-ab84-42ee-ba1c-40cb158b8733,Carpentry,train
13e70b53-abc6-46d3-96da-d30b8327b223,Mechanical Repair,train
141b24d2-2fc1-4f9d-89ef-8dc3055213f7,Cleaning,train
141ce529-f793-48be-acde-24747af68b07,Gardening,train
14644fba-afeb-471c-8d82-2a7783dc67c5,Mechanical Repair,multi
14a81c5c-4e30-43b1-808d-2bcac0b9eeb1,Walking Outdoors,train
14d6ec93-4a74-4776-8837-abe5a305271f,Cleaning,multi
150c104e-f9bd-4a81-b885-0e8b9968cada,Mechanical Repair,test
15260985-2664-4bb5-af9c-d65e11ea8bb5,Carpentry,train
1558e9f2-d7f3-4a23-9627-4240f506d7df,Cooking,multi
15afbcca-8b44-4330-88bd-1de820866b9d,Cleaning,train
15ce76af-7eb0-4d27-9289-c9c71863f603,Carpentry,multi
15d2dc4a-b935-49f4-ae91-4c9100b681c8,Cooking,train
15db3714-87b2-407a-a0b7-574a89aac6a6,Carpentry,train
162c1bc4-89df-4475-a549-3faa7ef27c1e,Cleaning,multi
1635447d-f96f-4f1b-8e02-faaebcd8a6d2,Cooking,train
1680e3e9-d3fc-4903-94d8-aa8e74016d74,Gardening,train
16a1999e-f488-4da8-a367-a037a94ac79f,Cooking,train
16c21f86-6bd6-4dd7-a9b6-d98fa9e47808,Carpentry,test
16ed2ae4-e1ed-4752-a8f6-a47f1544d84a,Playing Instrument,train
17607d8a-806f-4990-b5e7-756b6389c826,Mechanical Repair,test
176e0cc4-f5f3-48a4-9032-7c9c04e003f9,Desk Work,train
17b06e6c-3823-4825-91d1-68a9864bd983,Cleaning,train
17e336f3-3c84-403a-a917-3e7ed6986ce3,Mechanical Repair,train
17f2e8c9-ace4-48ff-9ef9-643715905be0,Walking Outdoors,test
181cfd16-4777-43a3-a0b2-136b4a1cc348,Playing Instrument,train
18323b66-f663-4daf-9f2f-c6db879b2724,Walking Outdoors,train
18a2984e-01d1-41f1-8c0e-2b314c8c233f,Cleaning,train
18be74c1-9b20-41ca-8a89-7d0a1832ff55,Mechanical Repair,train
