video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
02497a97-5de2-469c-b2e9-c940b78c2060,71.24661,#c c walk around the streets,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking.",silver,1,r001
02497a97-5de2-469c-b2e9-c940b78c2060,1978.878686666667,#C C crosses the road,Walking Outdoors,Locomotion,"Movement through space, indicative of walking.",silver,1,r001
02497a97-5de2-469c-b2e9-c940b78c2060,2196.2193100000004,#C C negotiates the junction,Walking Outdoors,Locomotion,"Body moving through space, navigating a junction involves walking.",silver,1,r001
02497a97-5de2-469c-b2e9-c940b78c2060,2199.2984600000004,#C C crosses the road.,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking.",silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,46.4748886,#C C walks towards the ball,Playing Instrument,Locomotion,Body moving through space.,silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,67.4956886,#C C looks aside,Playing Instrument,Search,"Head movement (visual search), hands mostly still.",silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,109.5600786,#C C looks around,Playing Instrument,Search,"Head movement (visual search), hands mostly still.",silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,131.01775859999998,#C C touches the dog,Playing Instrument,Stationary,The action of touching the dog does not involve significant motion and can be considered a stationary action.,silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,146.31880859999998,#C C throws the ball,Playing Instrument,Object Transfer,[CtxFixed] The action of throwing the ball involves the transfer of an object (the ball) from one location to another.,silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,174.1053786,#C C touches the dog,Playing Instrument,Stationary,"Low body/hand motion, likely petting or interacting without significant movement.",silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,46.0805086,#C C plays piano,Playing Instrument,Essential Operation,Core manual task involving high hand activity.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,80.4698586,#C C picks shakers,Playing Instrument,Object Transfer,Logistics/Setup step (picking up an object).,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,283.7761959242188,#C C sings,Playing Instrument,Stationary,"Singing involves minimal body motion, mostly vocal activity.",silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,396.1208959242188,#C C steps on therevox,Playing Instrument,Locomotion,Body moving through space to step on an object.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,489.0412559242188,#C C plays #unsure,Playing Instrument,Essential Operation,Core manual task involving high hand activity.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,898.5204083656251,#C C shakes the maraca,Playing Instrument,Essential Operation,Core task involving high hand activity.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,918.843798365625,#C C puts the maraca on the stand,Playing Instrument,Object Transfer,"Logistics/Setup step, placing object on a surface.",silver,1,r001
