batch,video_uid,timestamp_sec,narration_text,scenario,action,reasoning
0,a4b90abd-8763-49e4-9a15-1276079545e3,-3.999999999976245e-07,#C C presses the phone,Walking Outdoors,Stationary,Pressing the phone is a brief action with low body/hand motion.
0,a4b90abd-8763-49e4-9a15-1276079545e3,2.1046896000000004,#C C moves #unsure,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,3.4903096,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,4.240579599999999,#O woman Y walks in the house,Walking Outdoors,Locomotion,"Movement through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,7.336369599999999,#O woman T stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,10.5648996,#C C picks forks,Walking Outdoors,Object Transfer,"Logistics action of picking up objects, short burst of hand acceleration."
0,a4b90abd-8763-49e4-9a15-1276079545e3,13.5118296,#C C walks in the house,Walking Outdoors,Locomotion,Body moving through space (walking).
0,a4b90abd-8763-49e4-9a15-1276079545e3,14.0315296,#O woman Y sits on the chair,Walking Outdoors,Stationary,"The action describes a person coming to a stop and sitting, which involves low body and hand motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,16.6746896,#C C puts forks on the table,Walking Outdoors,Object Transfer,Logistics action of placing items on a surface.
0,a4b90abd-8763-49e4-9a15-1276079545e3,18.9477396,#O man B sit on the sofa,Walking Outdoors,Stationary,"The action describes sitting, which is a low energy activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,19.403029600000004,#C C touches fruits,Walking Outdoors,Stationary,"The action involves touching fruits which implies a low-energy, stationary activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,28.998559600000004,#C C pulls chair,Walking Outdoors,Object Transfer,"The action involves moving an object (the chair), which corresponds to logistics or setup steps."
0,a4b90abd-8763-49e4-9a15-1276079545e3,33.9065996,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,36.246649600000005,#O woman T holds box,Walking Outdoors,Locomotion,Body moving through space while holding an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,40.7826996,#O woman T dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, primarily involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,42.6556196,#C C opens tap water,Walking Outdoors,Essential Operation,"Core manual task involving manipulation of a tap, high hand activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,45.855219600000005,#C C washes towel,Walking Outdoors,Essential Operation,Core task involving manual activity with the hands.
0,a4b90abd-8763-49e4-9a15-1276079545e3,47.9543096,#C C closes tap water,Walking Outdoors,Essential Operation,Core task involving a specific manual action with high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,53.240269600000005,#C C wipes the table,Walking Outdoors,Essential Operation,Core manual task involving high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,55.4134396,#C C picks a cup,Walking Outdoors,Object Transfer,"The action involves picking up an object, which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,56.6977096,#C C wipes the table,Walking Outdoors,Essential Operation,Core task involving high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,61.296659600000005,#O woman Y dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, indicative of conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,62.569449600000006,#C C wipes the table,Walking Outdoors,Essential Operation,Core manual task involving high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,68.3699496,#C C picks bottles,Walking Outdoors,Object Transfer,Logistics step involving picking up objects.
0,a4b90abd-8763-49e4-9a15-1276079545e3,71.5224696,#C C picks forks,Walking Outdoors,Object Transfer,"Logistics step, picking up objects."
0,a4b90abd-8763-49e4-9a15-1276079545e3,75.1384896,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, indicative of dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,76.6317996,#C C wipes the table,Walking Outdoors,Essential Operation,Core task involving manual effort with high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,84.6909396,#O woman Y touches hair,Walking Outdoors,Stationary,The action involves a minor grooming activity with low body and hand motion.
0,a4b90abd-8763-49e4-9a15-1276079545e3,87.3511096,#C C opens tin lid,Walking Outdoors,Object Transfer,"Action involves opening a lid, which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,95.1429796,#C C puts tin lid on the table,Walking Outdoors,Object Transfer,"Action involves placing an object on a surface, which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,95.8838596,#C C carries tin,Walking Outdoors,Locomotion,Body moving through space while carrying an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,103.6599296,#C C puts tin on the table,Walking Outdoors,Object Transfer,Logistics step of placing an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,106.2607496,#C C picks soda can,Walking Outdoors,Object Transfer,Picking up an object involves a short burst of hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,108.4299396,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,110.6079596,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,111.8234396,#C C puts tin lid on the kitchen cupboard,Walking Outdoors,Object Transfer,"The action involves placing an object (tin lid) on a surface (cupboard), which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,113.6069496,#O woman T dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,118.1765396,#C C stands in the house,Walking Outdoors,Stationary,"Low body/hand motion, indicating a pause or idle state."
0,a4b90abd-8763-49e4-9a15-1276079545e3,119.8120596,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,125.5986096,#C C wipes the table,Walking Outdoors,Essential Operation,Core task involving high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,127.5985196,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,130.7079496,#C C wipes the table,Walking Outdoors,Essential Operation,Core task involving high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,137.5159596,#C C puts box on the table,Walking Outdoors,Object Transfer,"The action involves placing an object (box) on a surface (table), which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,141.7663796,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,142.3764896,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,142.8899696,#O woman T stands in the house,Walking Outdoors,Stationary,"The action describes the woman standing in one place, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,144.35337959999998,#O woman Y washes hands,Walking Outdoors,Essential Operation,Core manual task involving hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,145.2066596,#C C puts towel on the kitchen cupboard,Walking Outdoors,Object Transfer,Logistics step of placing the towel on the cupboard.
0,a4b90abd-8763-49e4-9a15-1276079545e3,147.1315196,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,151.5179796,#O woman T cooks,Walking Outdoors,Essential Operation,"The action describes a cooking activity, which involves high hand activity and manipulation of objects."
0,a4b90abd-8763-49e4-9a15-1276079545e3,153.7074696,#C C stands in the house,Walking Outdoors,Stationary,"Low body/hand motion, indicating a pause or waiting."
0,a4b90abd-8763-49e4-9a15-1276079545e3,159.5273196,#O woman Y walks in the house,Walking Outdoors,Locomotion,Body moving through space (walking).
0,a4b90abd-8763-49e4-9a15-1276079545e3,161.9103096,#C C stands in the house,Walking Outdoors,Stationary,The action describes a static position with no movement.
0,a4b90abd-8763-49e4-9a15-1276079545e3,163.19641959999998,#O woman Y wipes hands with towel,Walking Outdoors,Stationary,"The action involves wiping hands, which is a low-energy activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,164.2498396,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, as the focus is on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,167.7784796,#O woman Y puts towel on the chair,Walking Outdoors,Object Transfer,Logistics action of placing the towel on the chair.
0,a4b90abd-8763-49e4-9a15-1276079545e3,170.0967896,#O woman Y walk in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,171.4667196,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, likely engaged in conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,181.5390496,#O woman Y hangs sweater on the chair,Walking Outdoors,Object Transfer,Logistics action of hanging a sweater on a chair.
0,a4b90abd-8763-49e4-9a15-1276079545e3,187.9055896,#O woman T dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, implies conversation."
