video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
002d2729-df71-438d-8396-5895b349e8fd,32.1870896,#C C touches the contents of the bowl with the spoon in her right hand.,Cooking,Stationary,"Low body/hand motion, primarily tactile interaction.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,45.751619600000005,#C C holds the small bucket of flour with her left hand.,Cooking,Stationary,Holding an object with minimal movement.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,114.0592296,#C C puts the microwave power plug on the counter top with her right hand.,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,134.3622796,#C C dusts her hands.,Cooking,Stationary,"Low body/hand motion, likely idle or minimal movement.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,167.0532996,#C C takes the bowl from her left hand with her right hand.,Cooking,Object Transfer,Logistics/Transfer step between hands.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,220.1997096,#C C adjusts an air fryer with both hands.,Cooking,Essential Operation,Adjusting the air fryer involves a core manual task with high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,237.5880596,#C C walks towards a dinning table.,Cooking,Locomotion,Body moving through space (walking).,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,256.65380960000005,#C C touches a chopping board with his right hand.,Cooking,Object Transfer,Logistics step involving interaction with an object.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,257.4668596,#C C adjusts some racks with both hands.,Cooking,Essential Operation,Core task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,260.9716996,#C C carries a pot from a bigger pot with her right hand.,Cooking,Object Transfer,Logistics step involving moving an object from one location to another.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,272.05679960000003,#C C pours out the water in the pot into the sink with both hands.,Cooking,Object Transfer,Logistics step involving the transfer of an object (water in pot) to another location (sink).,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,367.7545309546634,#C C takes the bowl lid from her right hand with her left hand.,Cooking,Object Transfer,Logistics step involving the transfer of the bowl lid from one hand to another.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,539.9756376213301,#C C holds a knife in her right hand on a chopping board at a kitchen counter top.,Cooking,Stationary,"The action describes holding a knife without any movement, indicating a stationary position.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,586.4678276213301,#C C drops the knife on the chopping board with her right hand.,Cooking,Object Transfer,Refined via regex fallback,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,662.1696376213301,#C C closes the tap with her right hand.,Cooking,Essential Operation,Closing the tap is a core manual task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,716.5854976213301,#C C separates the pieces of ginger with both hands on the chopping board.,Cooking,Essential Operation,Core task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,815.32494762133,#C C breaks off a stalk of celery with her right hand.,Cooking,Essential Operation,Core task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,843.0065476213301,#C C rinses the celery stalks with both hands under the tap.,Cooking,Essential Operation,Core task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,957.84296762133,#C C puts the bowl in a part of the sink with her right hand.,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,963.06230762133,#C C pulls off a thread from a celery stalk with her right hand.,Cooking,Essential Operation,Core manual task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1052.59987762133,#C C adjusts the celery stalks in her left hand on the chopping board with the knife in her right hand.,Cooking,Essential Operation,"Core task involving manipulation with hands, likely preparing ingredients.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1057.80397762133,#C C takes the celery stalks from her right hand with her left hand.,Cooking,Object Transfer,Logistics step involving moving an object from one hand to another.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1064.7330122879966,#C C adjusts the celery stalks in her left hand on the chopping board with the knife in her right hand.,Cooking,Essential Operation,Core task involving precise hand movements for preparation.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1069.5680422879966,#C C picks the knife from the chopping board with her right hand.,Cooking,Object Transfer,Logistics step of picking up the knife.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1094.4223522879963,#C C drops the celery stalk on the chopping board with her left hand.,Cooking,Essential Operation,"The action involves placing the celery stalk on the chopping board, which is part of the core manual task of preparing food.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1096.1085022879963,#C C walks towards a kitchen cabinet.,Cooking,Locomotion,"Body moving through space, involves walking.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1154.0243042879963,#C C closes the tap with her right hand.,Cooking,Essential Operation,Closing the tap is a core manual task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1159.8938642879966,#C C puts celery stalks from the chopping board into the glass bowl with both hands.,Cooking,Object Transfer,Logistics step involving the transfer of celery stalks from one location to another.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1204.3906542879963,#C C lifts the lid of the glass bowl with her left hand.,Cooking,Object Transfer,"Action involves picking up an object (lifting the lid), which is a logistics step.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1341.8490942879966,#C C drops the glass bowl next to the food processor engine with her left hand.,Cooking,Object Transfer,"[CtxFixed] The action involves deliberately placing the glass bowl next to the food processor engine, which fits the criteria for Object Transfer.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1380.7201742879963,#C C holds the food processor bowl with her left hand.,Cooking,Stationary,"Low body/hand motion, holding an object in place.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1382.365834287997,#C C drops the food processor engine on the counter top with her right hand.,Cooking,Object Transfer,Refined via regex fallback,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1401.1164842879966,#C C touches the contents of the food processor bowl with her right hand.,Cooking,Stationary,"Low body/hand motion, likely inspecting texture or consistency.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1426.7674842879967,#C C drops the attachment on the counter top with her right hand.,Cooking,Object Transfer,Refined via regex fallback,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1445.0480542879966,#C C takes a spoon from the pot with her right hand.,Cooking,Object Transfer,Logistics action involving picking up an object.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1445.0480542879966,#C C holds the food processor bowl with her left hand.,Cooking,Stationary,Holding an object with minimal movement.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1498.6059842879968,#C C lifts the food processor bowl with her left hand.,Cooking,Object Transfer,Logistics step involving picking up an object.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1535.186264287997,#C C pours some soy sauce into the pot with her right hand.,Cooking,Essential Operation,Core task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1569.5542842879966,#C C turns off the tap with her right hand.,Cooking,Object Transfer,Turning off the tap is a logistics step involving a specific interaction with an object.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1576.6900742879966,#C C stirs the contents of the pot with the spoon in her right hand.,Cooking,Essential Operation,Core manual task involving high hand activity.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1723.5299009546634,#C C pours soy sauce from the bottle in her right hand into the spoon in her left hand.,Cooking,Object Transfer,Logistics step involving the transfer of soy sauce from one container to another.,silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1736.9776809546634,#C C holds the spoon inside the pot with her right hand.,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",silver,B10,r001
002d2729-df71-438d-8396-5895b349e8fd,1801.2902209546633,#C C mixes the contents of the pot with the spoon in her right hand.,Cooking,Essential Operation,Core task involving repetitive hand movements.,silver,B10,r001
