video_uid,scenarios,duration_sec
002c3b5c-ed86-4af3-99a1-4b497b7c8a86,['Cooking'],2757.97
002d2729-df71-438d-8396-5895b349e8fd,['Cooking'],3571.4
0031d268-818c-4ec4-a804-935be610a61a,['Carpenter'],1987.93
007cb0df-4f4f-4810-b246-8ba6639f53e1,['Carpenter'],549.38
00c450a5-49d0-4647-a45c-bf214cea169d,['Cooking'],1800.0
00dec6a0-dd5f-4024-91cf-a4b7c92d1242,['Carpenter'],199.85
016bfe72-74ef-4956-9cc9-7a7ad2f6ab48,"['Cleaning / laundry', 'Cooking']",1800.13
0198379f-f092-4e7d-9335-b5121ebd64ba,['Carpenter'],519.68
01ccf6b0-5e95-4b18-acd4-a8cc1fd31ddf,['Carpenter'],1206.87
01db7c39-a512-4bac-b284-dff8c7360e80,['Carpenter'],684.4
024713b7-b198-4502-a114-02ca0485353b,['Cooking'],1063.47
0260596a-0da1-422a-9ceb-e4f50769f8e2,['Carpenter'],1004.3
026dac2d-2ab3-4f9c-9e1d-6198db4fb080,['Cooking'],122.57
029532a0-3b50-457d-a790-f9dcabf93101,['Cooking'],83.63
02953bf3-4b5b-45ea-8339-465ed47a9337,['Cooking'],40.4
029b759d-4b65-49bb-8640-80a2ce5dfd53,['Cooking'],231.4
02c9f4ca-88f3-4439-ae42-a819cedc67e2,['Cooking'],40.94
02ca6897-bf08-4cfb-bbc7-7810dbf5cca2,"['Bike', 'Cycling / jogging']",3138.47
032f0478-17c5-4ac3-845c-0dd87c2ef113,['Cooking'],586.16
03551c71-b8ec-4a5d-9f41-5543e2fcf567,['Cooking'],32.87
03d6e9bf-389a-4828-bf82-0ef6decf7671,"['Cooking', 'Talking with friends/housemates']",1800.17
03e12aff-3e22-4922-af0f-cb188c284b2e,['Carpenter'],621.14
03f46720-8327-4215-ba56-5d739f6795ef,['Carpenter'],569.37
04994ce8-9d47-44d6-a7b0-42b395e69390,['Carpenter'],1474.57
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,"['Cooking', 'Eating', 'Watching tv']",5424.6
04d28bd0-1417-4457-b31a-f35991d1f3c3,['Cooking'],253.27
04fe8f4d-081e-437e-a56a-2d53b6233fc9,['Cooking'],5290.36
053398fd-fcc4-47fc-af69-99366b13a505,"['Carpenter', 'Crafting/knitting/sewing/drawing/painting']",868.0
053ae0a6-937d-4bdc-8001-d3dfe7899811,"['Bike', 'Walking on street']",3283.03
053ca9bc-4822-4573-b04e-aea0c1ae97df,['Cooking'],52.86
0543b37f-826a-4346-8899-0e63b235b14f,['Carpenter'],921.47
055ba601-c243-4d4a-8a2c-694a5c88824c,"['Bike', 'Indoor Navigation (walking)', 'Listening to music']",1062.07
055f3cf1-1133-4260-b5a0-31e7ca1726a1,['Cooking'],1378.33
056220c6-3c5c-419d-87b2-286e8a3c0706,['Cooking'],708.03
056db3f1-f957-46c8-b16b-c8fce22e78f9,['Cooking'],708.03
059ea968-4347-4b13-9df9-eb97f66e6d4f,['Carpenter'],864.9
06028cd6-f99c-4c53-857b-30d2ee0facb8,"['Carpenter', 'Fixing something in the home']",421.0
06063178-10bb-49be-b7fb-bba740660614,['Cooking'],708.03
06456897-960d-4d0c-8ce2-cd50a5a57bc3,['Gardening'],3130.87
0677b703-0443-4cf3-9d51-19dcb2b3f06d,['Carpenter'],2221.5
067a1235-376a-4c25-83e3-fd3ea3af1aca,['Carpenter'],624.68
067b03df-107c-4b7c-9dcc-eb9cdf56d682,"['Bike', 'Cycling / jogging']",908.73
068626dd-73d3-4bc7-917e-e12e6445eab9,['Bike'],61.53
068c3c6b-fbbc-486f-bc4c-f56e26448a09,['Cooking'],708.01
069c1058-881d-49da-b45d-b9f7e08fe932,['Carpenter'],2617.97
06bb2e99-5112-4987-ac5b-9fd52bb144d0,['Cooking'],102.89
06cf946b-4713-4ca2-addf-55ce95a26d98,['Cooking'],1406.38
06df3251-8d22-4ea0-8d0a-0ae4760d771f,['Carpenter'],959.53
07287862-edf9-45d8-a33b-853943d3aae5,"['Cooking', 'Crafting/knitting/sewing/drawing/painting', 'Watching tv']",3690.27
0780244d-e06c-413a-baa5-abcab16168b6,['Cooking'],24.56
0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2,"['Cooking', 'Indoor Navigation (walking)', 'Talking on the phone', 'Talking with family members', 'Watching tv']",3508.11
07a2ef8c-e9dd-4b53-a754-5dad076407aa,['Cooking'],542.51
0831d387-a359-427c-832d-b306f4720f45,['Carpenter'],219.82
0869732c-5228-4a28-9c5a-467a5ebef78c,['Cooking'],638.85
088add57-cf62-4ddd-9908-7eb738b0ec22,['Cooking'],3131.32
089359b2-bab1-40c4-bddb-cd9bbf47c931,['Cooking'],224.32
09090dbb-3d4d-4f04-a6c6-d8215a0143f7,['Cooking'],180.67
090c6bc0-49da-4d3b-b209-a1a60aeb0317,['Cooking'],708.03
09243eac-241b-43f1-ac6d-3dedc975d14f,['Cooking'],222.42
094bb63c-2050-4471-88eb-de3b86c26c81,['Cooking'],669.27
09910d48-41f9-4a84-bb1b-1bc96de62286,['Gardening'],1501.0
09a00c95-fce3-41d7-ab1c-a19692eea8f3,['Cooking'],416.68
09bccca1-368b-4776-9433-3c8835837110,['Cooking'],309.4
09f525f2-fff2-46ea-ab34-f1e1d64eec92,"['Cleaning / laundry', 'Cooking']",2863.13
09ff369a-a147-4ba9-bfea-499b7fbe554f,"['Cooking', 'Playing games / video games', 'Reading books']",1236.07
0a01978c-e16d-4587-95f1-49efa3ab15d9,"['Cooking', 'Eating']",2236.3
0a3097fc-baed-4d11-a4c9-30f07eb91af6,['Carpenter'],1225.23
0a7c1b9a-6c98-4f74-a8ad-3f06689d0146,['Carpenter'],28.93
