"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Stationary",672,"3",2,"","2026-02-21T23:48:35.615427Z",1099241,40.88,"#C C scrolls the laptop","Low body/hand motion, primarily hand movement with minimal acceleration.","r001","Cleaning","Gold","",75.84860859999999,"2026-02-21T23:48:35.615440Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Locomotion",673,"3",2,"","2026-02-21T23:48:51.674848Z",1099242,8.154,"#C C walks around the room","Body moving through space, indicative of walking.","r001","Cleaning","Gold","",206.0044086,"2026-02-21T23:48:51.674861Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Search",674,"3",2,"","2026-02-21T23:49:33.226411Z",1099243,33.534,"#C C adjusts the camera","Head movement (adjusting), passive hands.","r001","Cleaning","","Delete Row",232.5945386,"2026-02-21T23:49:33.226424Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Object Transfer",675,"3",2,"","2026-02-21T23:49:46.928128Z",1099244,12.339,"#C C picks #unsure","The action involves picking up an object, which is a logistics step.","r001","Cleaning","Gold","",499.0960486,"2026-02-21T23:49:46.928143Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",676,"3",2,"","2026-02-21T23:50:22.518450Z",1099245,33.975,"#C C uses hand gestures'","Low body/hand motion, likely involves minimal movement beyond hand gestures.","r001","Cleaning","","Delete Row",1102.4987186,"2026-02-21T23:50:22.518465Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",677,"3",2,"","2026-02-21T23:50:31.529748Z",1099246,7.385,"#C C watch phone","Low body/hand motion, focused attention.","r001","Cleaning","Gold","",1366.1096386,"2026-02-21T23:50:31.529776Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Search",678,"3",2,"Stationary","2026-02-21T23:50:53.987023Z",1099247,21.1,"#C C looks at the phone","Head movement (visual inspection), hands mostly still.","r001","Cleaning","Bad","",1471.1873286,"2026-02-21T23:50:53.987056Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",679,"3",2,"","2026-02-21T23:51:30.297856Z",1099248,35.082,"#C C puts the in front of the laptop","Low body/hand motion, likely involves placing an object in front of a laptop without significant movement.","r001","Cleaning","","Delete Row",1513.4040586,"2026-02-21T23:51:30.297885Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",680,"3",2,"","2026-02-21T23:51:40.118849Z",1099249,7.1,"#C C swipes phone","Low body/hand motion, likely holding phone still.","r001","Cleaning","Gold","",1701.1304686,"2026-02-21T23:51:40.118873Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",681,"3",2,"","2026-02-21T23:51:49.205988Z",1099250,7.885,"#C C clicks","Low body/hand motion, likely a small, non-movement action like clicking a button.","r001","Cleaning","Gold","",1726.2763986,"2026-02-21T23:51:49.206006Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",682,"3",2,"Essential Operation","2026-02-21T23:52:06.704994Z",1099251,16.259,"#C C stretches the bedsheets","The action of stretching bedsheets involves minimal movement and can be considered a low-energy activity.","r001","Cleaning","Bad","",2126.4527153125,"2026-02-21T23:52:06.705008Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",683,"3",2,"","2026-02-21T23:52:23.401256Z",1099252,15.597,"#C C switches on the light","Low body/hand motion, likely involves pressing a switch.","r001","Cleaning","Gold","",2150.3009453125,"2026-02-21T23:52:23.401271Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",684,"3",2,"","2026-02-21T23:52:32.368471Z",1099253,7.739,"#C C moves","The action 'C moves' is vague and could imply a slight movement, but without specific details, it suggests a low-energy state or transition.","r001","Cleaning","","Delete Row",2289.366470954664,"2026-02-21T23:52:32.368494Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Essential Operation",685,"3",2,"","2026-02-21T23:52:37.438754Z",1099254,3.91,"#C C pulls bedsheet","Core task involving significant hand movement.","r001","Cleaning","Gold","",2296.212710954664,"2026-02-21T23:52:37.438768Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",686,"3",2,"Essential Operation","2026-02-21T23:52:52.553383Z",1099255,13.785,"#C C stretches bedsheet","Low body/hand motion, more about adjusting position rather than movement through space.","r001","Cleaning","Bad","",2324.134980954664,"2026-02-21T23:52:52.553397Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Object Transfer",687,"3",2,"Essential Operation","2026-02-21T23:53:08.774922Z",1099256,14.789,"#C C tucks bedsheet","Logistics step involving picking up and arranging the bedsheet.","r001","Cleaning","Bad","",2348.446270954664,"2026-02-21T23:53:08.774936Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",688,"3",2,"","2026-02-21T23:53:16.681027Z",1099257,6.732,"#C C lowers hands","Low body/hand motion, likely indicating a pause or idle state.","r001","Cleaning","Gold","",2372.6463809546635,"2026-02-21T23:53:16.681041Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Object Transfer",689,"3",2,"","2026-02-21T23:53:24.829000Z",1099258,7.033,"#C C puts duvet cover on bed","Logistics step involving picking up and placing the duvet cover.","r001","Cleaning","Gold","",2387.372630954664,"2026-02-21T23:53:24.829016Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Locomotion",690,"3",2,"Object Transfer","2026-02-21T23:53:34.729775Z",1099259,8.659,"#C C throws pillow","Body movement through space, likely involves throwing motion with high body acceleration.","r001","Cleaning","Bad","",2392.859900954664,"2026-02-21T23:53:34.729805Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Object Transfer",691,"3",2,"","2026-02-21T23:53:39.996945Z",1099260,4.329,"#C C puts the detergent on top of the table","Logistics step of moving the detergent to the table.","r001","Cleaning","Gold","",2707.388078645833,"2026-02-21T23:53:39.996968Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Locomotion",692,"3",2,"","2026-02-21T23:53:45.169998Z",1099261,3.817,"#C C walks on corridor","Body moving through space (walking).","r001","Cleaning","Gold","",2725.9057486,"2026-02-21T23:53:45.170013Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Essential Operation",693,"3",2,"","2026-02-21T23:53:49.902426Z",1099262,3.645,"#C C types","Core manual task involving hand activity.","r001","Cleaning","Gold","",2764.8517186000004,"2026-02-21T23:53:49.902441Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",694,"3",2,"","2026-02-21T23:53:56.542084Z",1099263,5.425,"#C C reads","Low body/hand motion, implies a reading activity.","r001","Cleaning","Gold","",3332.8531109546634,"2026-02-21T23:53:56.542099Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",695,"3",2,"","2026-02-21T23:54:04.293993Z",1099264,6.664,"#C C scrolls","Low body/hand motion, likely involves finger movement only.","r001","Cleaning","Gold","",3348.6446709546635,"2026-02-21T23:54:04.294007Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",696,"3",2,"","2026-02-21T23:54:10.746352Z",1099265,5.279,"#C C opens a page","Low body/hand motion, likely involves minimal movement.","r001","Cleaning","Gold","",3403.2712909546635,"2026-02-21T23:54:10.746368Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Search",697,"3",2,"Stationary","2026-02-21T23:54:22.036880Z",1099266,9.91,"#C C looks at phone","Head movement (visual search), hands mostly still.","r001","Cleaning","Bad","",3955.2186886,"2026-02-21T23:54:22.036903Z","01111831-9107-43c4-bf0e-6b26e9b32a2b"
"Stationary",698,"3",2,"","2026-02-21T23:54:27.436211Z",1099267,4.107,"#C C lowers the right hand","Low body/hand motion, indicating a pause or preparatory movement.","r001","Cleaning","Gold","",21.4822986,"2026-02-21T23:54:27.436225Z","01ce4fd6-197a-4792-8778-775b03780369"
"Stationary",699,"3",2,"","2026-02-21T23:54:35.820152Z",1099268,7.188,"#C C holds the sweater top","Low body/hand motion, holding an object without moving.","r001","Cleaning","Gold","",35.1967386,"2026-02-21T23:54:35.820176Z","01ce4fd6-197a-4792-8778-775b03780369"
"Object Transfer",700,"3",2,"","2026-02-21T23:54:50.480519Z",1099269,13.362,"#C C opens the wardrobe","Opening a wardrobe is a logistics step involving interaction with an object.","r001","Cleaning","Gold","",74.7311286,"2026-02-21T23:54:50.480534Z","01ce4fd6-197a-4792-8778-775b03780369"
"Essential Operation",701,"3",2,"","2026-02-21T23:54:55.312565Z",1099270,3.13,"#C C folds the ribbon","Core manual task involving fine hand movements.","r001","Cleaning","Gold","",108.9065486,"2026-02-21T23:54:55.312585Z","01ce4fd6-197a-4792-8778-775b03780369"
"Locomotion",702,"3",2,"","2026-02-21T23:55:12.874132Z",1099271,16.499,"#C C moves the gadget with the right foot","Body moving through space using a foot, involves significant body acceleration.","r001","Cleaning","Gold","",121.3354786,"2026-02-21T23:55:12.874145Z","01ce4fd6-197a-4792-8778-775b03780369"
"Locomotion",703,"3",2,"","2026-02-21T23:55:20.384589Z",1099272,6.329,"#C C climbs down the stairs","Body moving through space, involves movement with high body acceleration.","r001","Cleaning","Gold","",134.40571859999997,"2026-02-21T23:55:20.384625Z","01ce4fd6-197a-4792-8778-775b03780369"
"Stationary",708,"3",2,"Object Transfer","2026-02-21T23:57:43.451574Z",1099273,85.241,"#C C drops the clothes on the window seat","The action involves placing clothes on a seat, which is a low-energy activity.","r001","Cleaning","Bad","",147.60748859999998,"2026-02-21T23:57:43.451590Z","01ce4fd6-197a-4792-8778-775b03780369"
"Essential Operation",710,"3",2,"","2026-02-21T23:57:51.048391Z",1099274,6.394,"#C C pulls out the cut out part of the outer coating with his right hand.","Core manual task involving high hand activity.","r001","Carpentry","Gold","",39.2927796,"2026-02-21T23:57:51.048406Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",717,"3",2,"Object Transfer","2026-02-21T23:58:56.140642Z",1099275,63.554,"#C C cuts out some part of a plastic cord inside the cable with the wire cutter.","Core manual task involving precise hand movements.","r001","Carpentry","Gold","",99.7998396,"2026-02-21T23:58:56.140655Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
