"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Stationary",1,"1",12,"","2026-02-22T04:58:13.891694Z",1,33.143,"#C C presses the home button of the phone","Low body/hand motion, likely involves minimal movement.","r001","Playing Instrument","silver","Gold","",876.2393673123536,"2026-02-22T04:58:13.891694Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Stationary",2,"1",12,"","2026-02-22T04:58:53.027146Z",2,11.871,"#C C holds the neck of the guitar","Low body/hand motion, preparing to play.","r001","Playing Instrument","silver","Gold","",1041.1114573123537,"2026-02-22T04:58:53.027682Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Stationary",3,"1",12,"Essential Operation","2026-02-22T04:59:00.812634Z",3,40.093,"#C C moves hand away from the phone","The action describes a hand moving away from the phone, which is a low-energy movement.","r001","Playing Instrument","silver","Bad","",1134.754877144922,"2026-02-22T05:00:20.113333Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Stationary",4,"1",12,"Essential Operation","2026-02-22T04:59:06.421733Z",4,9.893,"#C C taps on the phone's screen","Low body/hand motion, primarily finger movement.","r001","Playing Instrument","silver","Bad","",1163.5470671449218,"2026-02-22T05:00:28.376685Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Stationary",5,"1",12,"Essential Operation","2026-02-22T04:59:13.394385Z",5,10.385,"#C C swipes on the phone's screen","The action involves minimal movement and is likely performed while the person is in a static position.","r001","Playing Instrument","silver","Bad","",1277.7864571449218,"2026-02-22T05:00:38.418949Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Stationary",6,"1",12,"Object Transfer","2026-02-22T04:59:18.558667Z",6,20.98,"#C C puts the phone on his lap","Putting the phone down is a setup action with low subsequent motion.","r001","Playing Instrument","silver","Bad","",1555.77299721162,"2026-02-22T05:02:16.512318Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Stationary",7,"1",12,"Essential Operation","2026-02-22T04:59:26.096174Z",7,11.01,"#C C turns the phone","Low body/hand motion, likely involves minimal movement.","r001","Playing Instrument","silver","Bad","",1590.66350721162,"2026-02-22T05:00:56.616593Z","0091e812-f56f-4bd9-ad65-019fc97c1ffe"
"Essential Operation",8,"1",12,"","2026-02-22T05:01:12.822287Z",8,14.985000000000001,"#C C hits the brush on the paint container","Core task involving manual action with high hand acceleration.","r001","Mechanical Repair","silver","Gold","",196.4075396,"2026-02-22T05:01:12.822287Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
"Essential Operation",9,"1",12,"","2026-02-22T05:01:26.293803Z",9,10.797,"#C C paints the railing with the brush","Core manual task involving high hand activity.","r001","Mechanical Repair","silver","Gold","",386.07183095466337,"2026-02-22T05:01:26.293803Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
"Essential Operation",10,"1",12,"","2026-02-22T05:01:46.095889Z",10,1.317,"#C C hits the paint container with the brush","Core manual task involving high hand activity.","r001","Mechanical Repair","silver","Gold","",410.5503909546634,"2026-02-22T05:01:46.095889Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
"Stationary",11,"1",12,"","2026-02-22T05:03:14.043230Z",11,5.194,"#C C stops adjusting the nylon on the floor.","Low body/hand motion, indicating a pause or rest.","r001","Mechanical Repair","silver","Gold","",583.2172976213301,"2026-02-22T05:03:14.043230Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
"Stationary",12,"1",12,"Essential Operation","2026-02-22T07:10:17.381146Z",12,6976.973,"#C C cleans his forehead with his right hand. #unsure","Low body/hand motion, likely a brief idle or pause action.","r001","Mechanical Repair","silver","Bad","",587.69706762133,"2026-02-22T07:10:17.381146Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
"Object Transfer",13,"1",12,"","2026-02-22T07:10:29.627405Z",13,10.522,"#C C drops the stone on the nylon on the floor.","Refined via regex fallback","r001","Mechanical Repair","silver","Gold","",599.55441762133,"2026-02-22T07:10:29.627405Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
"Stationary",14,"1",12,"","2026-02-22T07:10:34.885255Z",14,3.87,"#C C stops hitting the top of the paint can with the paint brush.","The action indicates a pause in motion, suggesting low energy activity.","r001","Mechanical Repair","silver","Gold","",957.53093762133,"2026-02-22T07:10:34.885255Z","036ed5cd-297e-4592-97ee-0611adbc45d2"
