action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Stationary,2,,80,26,,no,0,0.0,1,#C C looks down,looks down,"Low body/hand motion, likely in a fixed position.",r002,Cooking,,7.036005266666667,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Locomotion,2,,5,4516,,no,0,0.0,0,#C C cycles on a pavement,cycles on pavement,"Body moving through space, likely involves high body acceleration.",r002,Cooking,,183.42813526666663,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,,5,4249,watchlist_verb,yes,0,0.0,0,#C C holds a wall,holds wall,"Low body/hand motion, holding a position.",r002,Cooking,,216.90807526666663,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,,3,9206,watchlist_verb,yes,0,0.0,0,#C C opens a backpack,opens backpack,Opening a backpack is a logistics step involving picking up and opening an object.,r002,Cooking,,229.51186526666663,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,Stationary,4,5939,watchlist_verb,yes,0,0.0,0,#C C holds the fridge door,holds fridge door,Logistics action involving holding an object (refrigerator door).,r002,Cooking,,299.09669526666664,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,,12,1037,,no,0,0.0,0,#C C puts the paper down,puts paper down,"Logistics step, placing an object down.",r002,Cooking,,343.52269526666663,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,3,11575,,no,0,0.0,0,#C C picks up the wrapped #unsure,picks up wrapped,"Logistics step, picking up an object.",r002,Cooking,,400.8646952666667,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Task Operation,2,Object Transfer,4,7450,,no,0,0.0,0,#C C pours the coffee in the cup,pours coffee in cup,Core task involving high hand activity.,r002,Cooking,,420.1456952666667,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,4,7839,,no,0,0.0,0,#C C puts the sugar in the cup,puts sugar in cup,Logistics step involving picking up and placing an object.,r002,Cooking,,429.68769526666665,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,3,9194,watchlist_verb,yes,0,0.0,0,#C C moves the water bottle,moves water bottle,Moving an object from one place to another.,r002,Cooking,,447.5176952666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Search,2,Object Transfer,3,8580,watchlist_verb,yes,1,1.0,1,#C C adjusts camera on the head.,adjusts camera on head,"Head movement (adjusting camera), hands mostly still.",r002,Cooking,,573.3499652666666,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Stationary,2,Object Transfer,9,1576,watchlist_verb,yes,0,0.0,1,#C C adjusts a phone.,adjusts phone,Adjusting a phone typically involves minimal movement and is often done while standing or sitting still.,r002,Cooking,,591.2642552666666,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,,5,5008,,no,0,0.0,0,#C C picks a remote control.,picks remote control,Logistics/Setup step.,r002,Cooking,,598.7690252666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,5,4995,,no,0,0.0,0,#C C picks a pizza.,picks pizza,"Logistics step, picking up an object.",r002,Cooking,,669.0295252666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,Object Transfer,4,5859,watchlist_verb,yes,0,0.0,0,#C C adjusts the pizza.,adjusts pizza,"Adjusting the pizza involves minimal movement, likely with hands close to the body and little overall motion.",r002,Cooking,,671.1424952666666,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Stationary,2,,6,3446,,no,0,0.0,1,#C C eats the pizza.,eats pizza,"Eating involves minimal movement, mostly hand to mouth.",r002,Cooking,,689.1689752666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,,4,6008,watchlist_verb,yes,0,0.0,0,#C C holds the snack in the hand,holds snack in hand,"Low body/hand motion, holding an object.",r002,Cooking,,851.6477852666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Stationary,2,,4,6022,watchlist_verb,yes,0,0.0,0,#C C holds the water bottle in the hand,holds water bottle in hand,The action involves holding an object without any significant movement.,r002,Cooking,,913.7103152666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Task Operation,2,,4,7482,,no,0,0.0,0,#C C pours water in the water bottle,pours water in water bottle,Core task involving high hand activity.,r002,Cooking,,936.8585052666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,4,7875,,no,0,0.0,0,#C C puts the water bottle on the floor,puts water bottle on floor,Logistics/Setup step involving placing an object.,r002,Cooking,,947.4491652666666,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,Task Operation,21,335,,no,0,0.0,0,#C C operates his phone,operates his phone,"Low body/hand motion, likely involves minor finger movements.",r002,Cooking,,1153.5811319333334,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,Object Transfer,3,11764,,no,0,0.0,0,#C C places the phone on his thighs,places phone on his thighs,Placing an object does not involve continuous motion or high activity.,r002,Cooking,,1178.0235519333332,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,10,1461,,no,0,0.0,0,#C C picks up the remote,picks up remote,Logistics/Setup step.,r002,Cooking,,1179.0147119333333,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,Task Operation,3,10856,,no,0,0.0,0,#C C operates the television,operates television,Operating a device typically involves minimal body movement.,r002,Cooking,,1180.5215819333332,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,no
