"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Stationary",1178,"1",2,"","2026-03-02T05:20:39.224102Z",80,26,"","no",0,0.0,1,1178,3.547,"#C C looks down","looks down","Low body/hand motion, likely in a fixed position.","r002","Cooking","","silver",7.036005266666667,"2026-03-02T05:20:39.224113Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Locomotion",1179,"1",2,"","2026-03-02T05:20:45.306099Z",5,4516,"","no",0,0.0,0,1179,2.287,"#C C cycles on a pavement","cycles on pavement","Body moving through space, likely involves high body acceleration.","r002","Cooking","","silver",183.42813526666663,"2026-03-02T05:20:45.306106Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1180,"1",2,"","2026-03-02T05:20:48.529253Z",5,4249,"watchlist_verb","yes",0,0.0,0,1180,1.674,"#C C holds a wall","holds wall","Low body/hand motion, holding a position.","r002","Cooking","","silver",216.90807526666663,"2026-03-02T05:20:48.529266Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1181,"1",2,"","2026-03-02T05:21:18.735264Z",3,9206,"watchlist_verb","yes",0,0.0,0,1181,28.442,"#C C opens a backpack","opens backpack","Opening a backpack is a logistics step involving picking up and opening an object.","r002","Cooking","","silver",229.51186526666663,"2026-03-02T05:21:18.735275Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1182,"1",2,"Stationary","2026-03-02T05:21:33.164701Z",4,5939,"watchlist_verb","yes",0,0.0,0,1182,5.838,"#C C holds the fridge door","holds fridge door","Logistics action involving holding an object (refrigerator door).","r002","Cooking","","silver",299.09669526666664,"2026-03-02T05:21:33.164712Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1183,"1",2,"","2026-03-02T05:21:41.188256Z",12,1037,"","no",0,0.0,0,1183,1.839,"#C C puts the paper down","puts paper down","Logistics step, placing an object down.","r002","Cooking","","silver",343.52269526666663,"2026-03-02T05:21:41.188266Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1184,"1",2,"","2026-03-02T05:21:45.139110Z",3,11575,"","no",0,0.0,0,1184,2.379,"#C C picks up the wrapped #unsure","picks up wrapped","Logistics step, picking up an object.","r002","Cooking","","silver",400.8646952666667,"2026-03-02T05:21:45.139119Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Task Operation",1185,"1",2,"Object Transfer","2026-03-02T05:24:09.922037Z",4,7450,"","no",0,0.0,0,1185,143.097,"#C C pours the coffee in the cup","pours coffee in cup","Core task involving high hand activity.","r002","Cooking","","silver",420.1456952666667,"2026-03-02T05:24:09.922047Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1186,"1",2,"","2026-03-02T05:24:14.297828Z",4,7839,"","no",0,0.0,0,1186,1.809,"#C C puts the sugar in the cup","puts sugar in cup","Logistics step involving picking up and placing an object.","r002","Cooking","","silver",429.68769526666665,"2026-03-02T05:24:14.297840Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1187,"1",2,"","2026-03-02T05:24:17.043436Z",3,9194,"watchlist_verb","yes",0,0.0,0,1187,1.238,"#C C moves the water bottle","moves water bottle","Moving an object from one place to another.","r002","Cooking","","silver",447.5176952666666,"2026-03-02T05:24:17.043447Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Search",1188,"1",2,"Object Transfer","2026-03-02T05:24:23.197993Z",3,8580,"watchlist_verb","yes",1,1.0,1,1188,4.662,"#C C adjusts camera on the head.","adjusts camera on head","Head movement (adjusting camera), hands mostly still.","r002","Cooking","","silver",573.3499652666666,"2026-03-02T05:24:23.198007Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Stationary",1189,"1",2,"Object Transfer","2026-03-02T05:24:27.507131Z",9,1576,"watchlist_verb","yes",0,0.0,1,1189,2.533,"#C C adjusts a phone.","adjusts phone","Adjusting a phone typically involves minimal movement and is often done while standing or sitting still.","r002","Cooking","","silver",591.2642552666666,"2026-03-02T05:24:27.507139Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1190,"1",2,"","2026-03-02T05:24:30.224709Z",5,5008,"","no",0,0.0,0,1190,1.247,"#C C picks a remote control.","picks remote control","Logistics/Setup step.","r002","Cooking","","silver",598.7690252666666,"2026-03-02T05:24:30.224777Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1191,"1",2,"","2026-03-02T05:24:33.071151Z",5,4995,"","no",0,0.0,0,1191,1.271,"#C C picks a pizza.","picks pizza","Logistics step, picking up an object.","r002","Cooking","","silver",669.0295252666666,"2026-03-02T05:24:33.071161Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1192,"1",2,"Object Transfer","2026-03-03T16:15:14.237824Z",4,5859,"watchlist_verb","yes",0,0.0,0,1192,3.684,"#C C adjusts the pizza.","adjusts pizza","Adjusting the pizza involves minimal movement, likely with hands close to the body and little overall motion.","r002","Cooking","","silver",671.1424952666666,"2026-03-03T16:15:14.237832Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Stationary",1193,"1",2,"","2026-03-03T16:15:16.661080Z",6,3446,"","no",0,0.0,1,1193,1.342,"#C C eats the pizza.","eats pizza","Eating involves minimal movement, mostly hand to mouth.","r002","Cooking","","silver",689.1689752666666,"2026-03-03T16:15:16.661097Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1194,"1",2,"","2026-03-03T16:15:19.443590Z",4,6008,"watchlist_verb","yes",0,0.0,0,1194,1.181,"#C C holds the snack in the hand","holds snack in hand","Low body/hand motion, holding an object.","r002","Cooking","","silver",851.6477852666666,"2026-03-03T16:15:19.443601Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Stationary",1195,"1",2,"","2026-03-03T16:15:22.056798Z",4,6022,"watchlist_verb","yes",0,0.0,0,1195,1.153,"#C C holds the water bottle in the hand","holds water bottle in hand","The action involves holding an object without any significant movement.","r002","Cooking","","silver",913.7103152666666,"2026-03-03T16:15:22.056806Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Task Operation",1196,"1",2,"","2026-03-03T16:17:25.264871Z",4,7482,"","no",0,0.0,0,1196,121.412,"#C C pours water in the water bottle","pours water in water bottle","Core task involving high hand activity.","r002","Cooking","","silver",936.8585052666666,"2026-03-03T16:17:25.264879Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1197,"1",2,"","2026-03-03T16:17:28.549121Z",4,7875,"","no",0,0.0,0,1197,1.604,"#C C puts the water bottle on the floor","puts water bottle on floor","Logistics/Setup step involving placing an object.","r002","Cooking","","silver",947.4491652666666,"2026-03-03T16:17:28.549132Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1198,"1",2,"Task Operation","2026-03-03T16:17:33.865467Z",21,335,"","no",0,0.0,0,1198,3.744,"#C C operates his phone","operates his phone","Low body/hand motion, likely involves minor finger movements.","r002","Cooking","","silver",1153.5811319333334,"2026-03-03T16:17:33.865476Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1199,"1",2,"Object Transfer","2026-03-03T16:17:38.434219Z",3,11764,"","no",0,0.0,0,1199,3.059,"#C C places the phone on his thighs","places phone on his thighs","Placing an object does not involve continuous motion or high activity.","r002","Cooking","","silver",1178.0235519333332,"2026-03-03T16:17:38.434231Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1200,"1",2,"","2026-03-03T16:17:41.329829Z",10,1461,"","no",0,0.0,0,1200,1.26,"#C C picks up the remote","picks up remote","Logistics/Setup step.","r002","Cooking","","silver",1179.0147119333333,"2026-03-03T16:17:41.329846Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1201,"1",2,"Task Operation","2026-03-03T16:17:46.765237Z",3,10856,"","no",0,0.0,0,1201,3.733,"#C C operates the television","operates television","Operating a device typically involves minimal body movement.","r002","Cooking","","silver",1180.5215819333332,"2026-03-03T16:17:46.765250Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1202,"1",2,"","2026-03-03T16:18:04.269133Z",3,9832,"","no",0,0.0,0,1202,1.519,"#C C drinks the content in the cup","drinks content in cup","Drinking is a relatively stationary activity with minimal body motion.","r002","Cooking","","silver",1926.1430386,"2026-03-03T16:18:04.269143Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Locomotion",1203,"1",2,"Stationary","2026-03-03T16:18:22.373303Z",6,4011,"","no",0,0.0,0,1203,16.904,"#C C stretches the leg","stretches leg","Body movement through space, likely involves stretching which is a form of movement.","r002","Cooking","","silver",1932.8622686,"2026-03-03T16:18:22.373320Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1204,"1",2,"","2026-03-03T16:18:27.373787Z",11,1181,"","no",0,0.0,0,1204,1.353,"#C C picks bottles","picks bottles","Logistics step involving picking up objects.","r002","Cooking","","silver",2114.1137286000003,"2026-03-03T16:18:27.373797Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Object Transfer",1205,"1",2,"","2026-03-03T16:18:30.105206Z",28,203,"","no",0,0.0,0,1205,1.463,"#C C puts a spoon in the sink","puts spoon in sink","Logistics step involving picking up and placing the spoon.","r002","Cooking","","silver",2134.4037286,"2026-03-03T16:18:30.105220Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1206,"1",2,"","2026-03-03T16:18:32.911263Z",3,9324,"watchlist_verb","yes",0,0.0,0,1206,1.31,"#C C touches a can","touches can","Low body/hand motion, likely a brief touch without significant movement.","r002","Cooking","","silver",2141.5424886,"2026-03-03T16:18:32.911272Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1207,"1",2,"","2026-03-03T16:18:36.464529Z",11,1295,"","no",0,0.0,0,1207,1.897,"#C C throws the paper in the dustbin","throws paper in dustbin","[CtxFixed] The action of throwing the paper into the dustbin is a deliberate placement of the object, which fits the definition of 'Object Transfer'.","r002","Cooking","","silver",2174.1774186,"2026-03-03T16:18:36.464540Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1208,"1",2,"Object Transfer","2026-03-03T16:18:42.526857Z",5,4137,"watchlist_verb","yes",0,0.0,0,1208,4.487,"#C C adjusts a book.","adjusts book","Low body/hand motion, likely involves minor hand adjustments.","r002","Cooking","","silver",2238.0623286000005,"2026-03-03T16:18:42.526866Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1209,"1",2,"","2026-03-03T16:18:46.218961Z",10,1430,"","no",0,0.0,0,1209,1.408,"#C C picks an apple.","picks apple","Logistics step involving picking up an object.","r002","Cooking","","silver",2240.0474286000003,"2026-03-03T16:18:46.218968Z","Gold","0f39b336-3e41-4305-9325-bb9cd74b8146","no"
"Stationary",1210,"1",2,"Object Transfer","2026-03-03T16:18:50.383497Z",3,8633,"watchlist_verb","yes",0,0.0,0,1210,2.568,"#C C adjusts pen.","adjusts pen","Adjusting an object typically involves minimal movement and can be considered a low-energy activity.","r002","Cooking","","silver",2251.9913286,"2026-03-03T16:18:50.383506Z","Bad","0f39b336-3e41-4305-9325-bb9cd74b8146","yes"
"Object Transfer",1211,"1",2,"","2026-03-03T16:18:54.616022Z",3,11584,"","no",0,0.0,0,1211,2.512,"#C C picks a washer with his gloved left hand","picks washer with his gloved left hand","Logistics step involving picking up an object.","r002","Mechanical Repair","","silver",10.21551,"2026-03-03T16:18:54.616033Z","Gold","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","no"
"Stationary",1212,"1",2,"","2026-03-03T16:18:57.661087Z",4,6021,"watchlist_verb","yes",0,0.0,0,1212,1.441,"#C C holds the washer with gloved hands","holds washer with gloved hands","Low body/hand motion, holding an object without movement.","r002","Mechanical Repair","","silver",42.00411,"2026-03-03T16:18:57.661097Z","Gold","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","yes"
"Object Transfer",1213,"1",2,"Stationary","2026-03-03T16:19:16.050209Z",4,7690,"","no",0,0.0,0,1213,16.738,"#C C puts his left gloved hand inside the bike","puts his left gloved hand inside bike","Logistics step of placing hand inside the bike.","r002","Mechanical Repair","","silver",82.45204,"2026-03-03T16:19:16.050220Z","Bad","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","no"
"Object Transfer",1214,"1",2,"","2026-03-03T16:19:19.978596Z",3,9938,"","no",0,0.0,0,1214,2.254,"#C C drops the grease container on the workbench with his gloved left hand.","drops grease container on workbench with his gloved left hand","[CtxFixed] The action involves deliberately placing the grease container onto the workbench, which fits the criteria for Object Transfer.","r002","Mechanical Repair","","silver",323.94029,"2026-03-03T16:19:19.978607Z","Gold","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","no"
