video_uid,scenario,split
000786a7-3f9d-4fe6-bfb3-045b368f7d44,Carpentry,val
000a3525-6c98-4650-aaab-be7d2c7b9402,Mechanical Repair,test
000cd456-ff8d-499b-b0c1-4acead128a8b,Cleaning,multi
001e3e4e-2743-47fc-8564-d5efd11f9e90,Cleaning,train
00277df3-9107-4592-ba85-b8d054149551,Mechanical Repair,train
002ad105-bd9a-4858-953e-54e88dc7587e,Cleaning,train
002c3b5c-ed86-4af3-99a1-4b497b7c8a86,Cooking,val
002d2729-df71-438d-8396-5895b349e8fd,Cooking,train
0030b1e9-c6a6-4809-a495-8d45791f9775,Carpentry,train
0031d268-818c-4ec4-a804-935be610a61a,Carpentry,train
003a90b1-7960-44e2-ba2f-308ba83adc70,Gardening,train
0051a756-bce3-4cf2-adb2-3c4b5cde6711,Cleaning,train
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,Mechanical Repair,val
0075dfd4-03b2-48c3-bde1-d7851bc8e367,Mechanical Repair,train
007cb0df-4f4f-4810-b246-8ba6639f53e1,Carpentry,train
0089fd8c-1b30-468e-b0c9-98d265e4d705,Carpentry,train
0090c729-7bdd-4f99-8a76-1df2c7990ab1,Carpentry,train
0091e812-f56f-4bd9-ad65-019fc97c1ffe,Playing Instrument,train
00aaf182-c2c5-4891-80f1-ef01b2bc9729,Walking Outdoors,train
00c450a5-49d0-4647-a45c-bf214cea169d,Cooking,test
00dec6a0-dd5f-4024-91cf-a4b7c92d1242,Carpentry,train
00eff7a7-67b4-417f-a285-82eaadc80937,Carpentry,train
01111831-9107-43c4-bf0e-6b26e9b32a2b,Cleaning,train
011ee98a-afc2-4088-b4d1-e0f7d84f3611,Desk Work,train
01236d91-23a2-49be-8f9f-d25cd3e126f6,Carpentry,train
0123d797-c17d-42db-8268-53150a0641ad,Mechanical Repair,train
012e5626-15d0-448c-9e7c-98a18faf2a63,Mechanical Repair,train
01364662-3e8c-4974-a69d-4c3bf6feb3e0,Playing Instrument,train
016bfe72-74ef-4956-9cc9-7a7ad2f6ab48,Cooking,train
018b7ef7-2a81-4451-ab60-a638b5ee501b,Carpentry,train
0198379f-f092-4e7d-9335-b5121ebd64ba,Carpentry,test
019a251b-f3fb-4fc9-82dc-ca1b9fe42e12,Mechanical Repair,train
01aed4ae-486e-41eb-91f8-4d2e8a46db7d,Mechanical Repair,test
01cab463-9a16-4817-84a4-a00ef5b7bf39,Playing Instrument,train
01ccf6b0-5e95-4b18-acd4-a8cc1fd31ddf,Carpentry,train
01ce4fd6-197a-4792-8778-775b03780369,Cleaning,train
01d301c9-9dbf-4da2-9181-d66a6688f5e6,Carpentry,train
01d793c6-e235-4af1-8a1d-c70dcf0c8654,Carpentry,train
