video_uid,timestamp_sec,narration_text,scenario,action,reasoning,batch,round,normalized_narration_stage2,dataset_rows_covered_if_validated,high_priority_review,high_priority_reason,watchlist_hit,historical_bad_count,historical_checked_count,historical_bad_rate,Status,inner_id,secondary_action
05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,86.8072996,#C C swings #unsure on the stick,Playing Instrument,Task Operation,Core task involving high hand activity.,1,r002,swings on stick,4,no,,no,0,0,0.0,Gold,,
05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,178.7188396,#C C moves thread ball,Playing Instrument,Task Operation,"Core task involving manual activity, likely related to tuning or adjusting the instrument.",1,r002,moves thread ball,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,313.6632509546634,#C C crochets the textile,Playing Instrument,Task Operation,"Core manual task involving hands, high hand activity.",1,r002,crochets textile,5,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,331.9229892852933,#C C picks the hedge shear,Gardening,Object Transfer,Logistics step of picking up an object.,1,r002,picks hedge shear,15,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,397.5051992852933,#C C moves on the garden,Gardening,Locomotion,"Body moving through space, likely walking or moving around in the garden.",1,r002,moves on garden,5,yes,watchlist_verb,yes,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,603.456637613672,#C C holds the rake,Gardening,Stationary,"Low body/hand motion, holding an object without moving.",1,r002,holds rake,5,yes,watchlist_verb,yes,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,657.625287613672,#C C holds the pruning shear with both hands,Gardening,Stationary,"Low body/hand motion, holding an object.",1,r002,holds pruning shear with both hands,7,yes,watchlist_verb,yes,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,708.3590476136719,#C C holds the cutter,Gardening,Stationary,The action describes holding an object without movement.,1,r002,holds cutter,6,yes,watchlist_verb,yes,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,926.4683682616542,#C C picks the rake,Gardening,Object Transfer,"Logistics step, picking up an object.",1,r002,picks rake,11,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,1093.6335171449218,#C C cuts the bush with the shear,Gardening,Task Operation,Core task involving high hand activity.,1,r002,cuts bush with shear,11,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,1511.847827247718,#C C prunes,Gardening,Task Operation,Core task involving high hand activity.,1,r002,prunes,32,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,1531.346307247718,#C C drops the secateurs,Gardening,Object Transfer,"[CtxFixed] The action of dropping the secateurs indicates a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.",1,r002,drops secateurs,3,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,1533.222427247718,#C C picks the hedge shears,Gardening,Object Transfer,"The action involves picking up an object, which is a logistics step.",1,r002,picks hedge shears,4,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,2181.888496158594,#C C stares at the shrub,Gardening,Stationary,"Low body/hand motion, visual focus without movement.",1,r002,stares at shrub,7,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,2394.9251161585944,#C C places the hedge shear on the grass,Gardening,Object Transfer,"Logistics step, placing an object.",1,r002,places hedge shear on grass,5,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,2689.0326254559814,#C C removes piece of shrub with the hand,Gardening,Task Operation,Core task involving manual work with hands.,1,r002,removes piece of shrub with hand,4,no,,no,0,0,0.0,Gold,,
06456897-960d-4d0c-8ce2-cd50a5a57bc3,3116.4882558298177,#C C walks backwards,Gardening,Locomotion,Body moving through space in a walking motion.,1,r002,walks backwards,7,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,31.7708596,#C C hangs the plier in his right hand on the ladder,Carpentry,Object Transfer,The action involves moving an object (the pliers) to a specific location (hanging on the ladder).,1,r002,hangs plier in his right hand on ladder,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,79.6572096,#C C fixes an end of the wire to the splicing connector #unsure,Carpentry,Task Operation,Core manual task involving precise hand movements.,1,r002,fixes end of wire to splicing connector,3,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,126.7267796,#C C picks up a screwdriver from a table with his right hand #unsure,Carpentry,Object Transfer,Logistics step involving picking up an object.,1,r002,picks up screwdriver from table with his right hand,5,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,143.37217959999998,#C C holds the wires with his left hand,Carpentry,Stationary,"Low body/hand motion, holding position.",1,r002,holds wires with his left hand,8,yes,watchlist_verb,yes,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,189.6400296,#C C arranges wires in the junction box with both hands,Carpentry,Task Operation,Core task involving high hand activity.,1,r002,arranges wires in junction box with both hands,3,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,250.1666696,#C C grabs the scissors from his pocket with his right hand #unsure,Carpentry,Object Transfer,"The action involves picking up an object, which is a logistics step.",1,r002,grabs scissors from his pocket with his right hand,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,251.4485996,#C C cuts the wires with the scissors,Carpentry,Task Operation,Core task involving high hand activity.,1,r002,cuts wires with scissors,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,269.97132960000005,#C C fixes the end of the wire to the splicing connector with both hands #unsure,Carpentry,Task Operation,Core manual task involving high hand activity.,1,r002,fixes end of wire to splicing connector with both hands,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,276.4961796,#C C pulls a wire with his right hand,Carpentry,Task Operation,Core manual task involving high hand activity.,1,r002,pulls wire with his right hand,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,283.30069960000003,#C C adjusts the plier in his right hand,Carpentry,Task Operation,"Adjusting the tool for a core manual task, high hand activity.",1,r002,adjusts plier in his right hand,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,286.4972409546634,#C C cuts the wire with the plier,Carpentry,Task Operation,Core manual task involving high hand activity.,1,r002,cuts wire with plier,7,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,312.6207709546634,#C C screws a nut in the cut-out with the screwdriver in both hands,Carpentry,Task Operation,Core manual task involving high hand activity.,1,r002,screws nut in cut out with screwdriver in both hands,6,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,354.2909509546634,#C C passes the cable tie in his right hand behind a wire,Carpentry,Object Transfer,Logistics step involving the transfer of an object.,1,r002,passes cable tie in his right hand behind wire,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,418.4590409546634,#C C drops the cut part on the ground with his left hand #unsure,Carpentry,Object Transfer,"[CtxFixed] The action of dropping the cut part of the cable tie onto the ground is a deliberate placement, which fits the definition of 'Object Transfer'.",1,r002,drops cut part on ground with his left hand,3,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,438.8703409546634,#C C cuts parts of the wires with the scissors,Carpentry,Task Operation,Core task involving high hand activity.,1,r002,cuts parts of wires with scissors,4,no,,no,0,0,0.0,Gold,,
0971527a-6cd3-4c82-9d94-09b3565f4505,635.5833276213301,#C C holds the splicing connector in both hands #unsure,Carpentry,Stationary,"Low body/hand motion, holding an object.",1,r002,holds splicing connector in both hands,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,30.507548600000003,#C C Scrubs the wall edge,Mechanical Repair,Task Operation,Core task involving high hand activity.,1,r002,scrubs wall edge,6,no,,no,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,375.3441685331248,#C C Places #unsure on the floor,Mechanical Repair,Object Transfer,"Logistics step, placing an object on the floor.",1,r002,places on floor,9,no,,no,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,450.7806485331248,#C C Scoops the paint from paint container with paintbrush,Mechanical Repair,Task Operation,"Core task involving manual operation with a tool, high hand activity.",1,r002,scoops paint from paint container with paintbrush,8,no,,no,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,691.9352876136719,#C C paints the ceiling,Mechanical Repair,Task Operation,"Core manual task, high hand activity.",1,r002,paints ceiling,3,no,,no,0,0,0.0,Gold,,
