"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Locomotion",1185,"3",1,"","2026-02-22T17:23:08.887155Z",1126741,5.629,"#c c walk around the streets","Body moving through space, indicative of walking.","r001","Walking Outdoors","silver","Gold","",71.24661,"2026-02-22T17:23:08.887190Z","02497a97-5de2-469c-b2e9-c940b78c2060"
"Locomotion",5199,"1",1,"","2026-02-23T19:16:09.840134Z",1126742,59.052,"#C C negotiates the junction","Body moving through space, navigating a junction involves walking.","r001","Walking Outdoors","silver","Gold","",2196.2193100000004,"2026-02-23T19:16:09.840149Z","02497a97-5de2-469c-b2e9-c940b78c2060"
"Locomotion",5201,"1",1,"","2026-02-23T19:16:33.620546Z",1126743,20.17,"#C C walks towards the ball","Body moving through space.","r001","Playing Instrument","silver","Gold","",46.4748886,"2026-02-23T19:16:33.620580Z","0296707b-0b42-45dd-98dc-ca8ce0a26a50"
"Search",5204,"1",1,"","2026-02-23T19:16:45.146909Z",1126744,9.797,"#C C looks aside","Head movement (visual search), hands mostly still.","r001","Playing Instrument","silver","Gold","",67.4956886,"2026-02-23T19:16:45.146929Z","0296707b-0b42-45dd-98dc-ca8ce0a26a50"
"Object Transfer",5206,"1",1,"","2026-02-23T19:16:53.563930Z",1126745,6.398,"#C C picks shakers","Logistics/Setup step (picking up an object).","r001","Playing Instrument","silver","Gold","",80.4698586,"2026-02-23T19:16:53.563963Z","0550b3f4-94a5-4e91-a00f-316d4a1d4d59"
"Locomotion",5211,"1",1,"","2026-02-23T19:17:58.325467Z",1126746,62.919,"#C C steps on therevox","Body moving through space to step on an object.","r001","Playing Instrument","silver","","Skip",396.1208959242188,"2026-02-23T19:17:58.325493Z","0550b3f4-94a5-4e91-a00f-316d4a1d4d59"
"Essential Operation",5213,"1",1,"","2026-02-23T19:18:06.907919Z",1126747,6.751,"#C C plays #unsure","Core manual task involving high hand activity.","r001","Playing Instrument","silver","Gold","",489.0412559242188,"2026-02-23T19:18:06.907934Z","0550b3f4-94a5-4e91-a00f-316d4a1d4d59"
"Essential Operation",5215,"1",1,"","2026-02-23T19:18:14.047150Z",1126748,5.242,"#C C shakes the maraca","Core task involving high hand activity.","r001","Playing Instrument","silver","Gold","",898.5204083656251,"2026-02-23T19:18:14.047185Z","0550b3f4-94a5-4e91-a00f-316d4a1d4d59"
"Object Transfer",5217,"1",1,"","2026-02-23T19:18:26.120908Z",1126749,10.942,"#C C puts the maraca on the stand","Logistics/Setup step, placing object on a surface.","r001","Playing Instrument","silver","Gold","",918.843798365625,"2026-02-23T19:18:26.120923Z","0550b3f4-94a5-4e91-a00f-316d4a1d4d59"
"Essential Operation",5219,"1",1,"","2026-02-23T19:18:30.727606Z",1126750,3.264,"#C C beats the drum","Core task involving repetitive hand movements.","r001","Playing Instrument","silver","Gold","",1846.9437651722656,"2026-02-23T19:18:30.727640Z","0550b3f4-94a5-4e91-a00f-316d4a1d4d59"
"Locomotion",5220,"1",1,"","2026-02-23T19:18:36.893303Z",1126751,4.956,"#C C walks on the garden","Movement through space, indicative of walking.","r001","Gardening","silver","Gold","",364.1442392852933,"2026-02-23T19:18:36.893337Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5221,"1",1,"","2026-02-23T19:18:42.593690Z",1126752,4.302,"#C C trims the hedge wall","Core task involving high hand activity with tools.","r001","Gardening","silver","Gold","",400.2518692852933,"2026-02-23T19:18:42.593723Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Locomotion",5226,"1",1,"Essential Operation","2026-02-23T19:19:37.281548Z",1126753,53.43,"#C C plucks the hedge wall","Body moving through space while performing a task that involves movement and likely physical engagement with the hedge.","r001","Gardening","silver","Bad","",481.8675892852933,"2026-02-23T19:19:37.281566Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Stationary",5229,"1",1,"","2026-02-23T19:19:59.202667Z",1126754,17.025,"#C C holds the branches","The action of holding branches indicates a static posture with minimal movement.","r001","Gardening","silver","Gold","",670.290317613672,"2026-02-23T19:19:59.202683Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5230,"1",1,"","2026-02-23T19:20:04.841121Z",1126755,3.202,"#C C trims the hedge","Core task involving repetitive hand movements.","r001","Gardening","silver","Gold","",821.8935782616542,"2026-02-23T19:20:04.841153Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5231,"1",1,"","2026-02-23T19:20:10.051945Z",1126756,3.784,"#C C plucks the bush","Core manual task involving high hand activity.","r001","Gardening","silver","Gold","",833.2034582616541,"2026-02-23T19:20:10.051961Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Object Transfer",5232,"1",1,"","2026-02-23T19:20:15.389576Z",1126757,4.145,"#C C throws the hedge shear on the ground","[CtxFixed] The action of throwing the hedge shear on the ground is a deliberate placement of the object onto the ground, which fits the criteria for Object Transfer.","r001","Gardening","silver","Gold","",960.9595882616542,"2026-02-23T19:20:15.389608Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Search",5233,"1",1,"","2026-02-23T19:20:32.608764Z",1126758,14.139,"#C C touches the shrubs","Implies a visual or tactile inspection, likely with head and hand movement.","r001","Gardening","silver","","Skip",1586.470477247718,"2026-02-23T19:20:32.608778Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5234,"1",1,"","2026-02-23T19:20:37.508097Z",1126759,2.884,"#C C removes branches","Core manual task involving high hand activity.","r001","Gardening","silver","Gold","",1623.896657247718,"2026-02-23T19:20:37.508130Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5235,"1",1,"","2026-02-23T19:20:42.219645Z",1126760,3.659,"#C C prunes with hedge shears","Core task involving high hand activity.","r001","Gardening","silver","Gold","",1640.3894971449215,"2026-02-23T19:20:42.219677Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5236,"1",1,"","2026-02-23T19:20:46.375801Z",1126761,3.099,"#C C prunes the shrub","Core task involving high hand activity.","r001","Gardening","silver","Gold","",1933.4913468066525,"2026-02-23T19:20:46.375816Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Object Transfer",5237,"1",1,"","2026-02-23T19:20:54.567805Z",1126762,5.675,"#C C picks another hedge shear","Logistics action of picking up an object.","r001","Gardening","silver","Gold","",1984.0715768066525,"2026-02-23T19:20:54.567837Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Object Transfer",5238,"1",1,"","2026-02-23T19:21:02.250429Z",1126763,5.759,"#C C places down the hedge shear","Logistics step of placing down an object.","r001","Gardening","silver","Gold","",2020.4160268066523,"2026-02-23T19:21:02.250453Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Object Transfer",5240,"1",1,"","2026-02-23T19:21:16.277588Z",1126764,6.495,"#C C places hedge shear on the shrub","Logistics of placing an object on a surface.","r001","Gardening","silver","Gold","",2212.174626158594,"2026-02-23T19:21:16.277621Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5241,"1",1,"","2026-02-23T19:21:22.548349Z",1126765,4.913,"#C C removes the grass with the hand","Core manual task involving high hand activity.","r001","Gardening","silver","Gold","",2247.7658061585944,"2026-02-23T19:21:22.548382Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5242,"1",1,"","2026-02-23T19:21:27.210274Z",1126766,3.374,"#C C removes the pieces of shrub","Core task involving high hand activity.","r001","Gardening","silver","Gold","",2279.918716158594,"2026-02-23T19:21:27.210290Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5244,"1",1,"","2026-02-23T19:21:31.379272Z",1126767,2.907,"#C C cuts the grass with a hedge shear","Core task involving repetitive cutting motion, high hand activity.","r001","Gardening","silver","Gold","",2315.581016158594,"2026-02-23T19:21:31.379299Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Stationary",5248,"1",1,"Object Transfer","2026-02-23T19:22:16.767930Z",1126768,43.964,"#C C leans the the rake on the shrub","The action involves placing the rake, which is a low-energy, static interaction.","r001","Gardening","silver","Bad","",2376.4589961585943,"2026-02-23T19:22:16.767964Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Essential Operation",5251,"1",1,"","2026-02-23T19:22:57.772156Z",1126769,35.974,"#C C penetrates in the shrub","Core task involving high hand activity.","r001","Gardening","silver","","Skip",3100.769625829818,"2026-02-23T19:22:57.772177Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Object Transfer",5253,"1",1,"","2026-02-23T19:23:11.016988Z",1126770,6.127,"#C C drops gardening shear","[CtxFixed] The action of dropping the gardening shear appears to be a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.","r001","Gardening","silver","Gold","",3128.215965829818,"2026-02-23T19:23:11.017013Z","06456897-960d-4d0c-8ce2-cd50a5a57bc3"
"Stationary",5254,"1",1,"","2026-02-23T19:23:21.782621Z",1126771,9.49,"#C C stares a fridge","Low body/hand motion, likely just looking.","r001","Cleaning","silver","Gold","",1104.4539719333334,"2026-02-23T19:23:21.782653Z","08f5fcdf-c038-4e1f-a1e9-b5939900feba"
"Essential Operation",5255,"1",1,"","2026-02-23T19:23:27.545102Z",1126772,4.487,"#C C pours salt on the food","Core task involving manual operation with hands.","r001","Cleaning","silver","Gold","",1135.2079019333332,"2026-02-23T19:23:27.545115Z","08f5fcdf-c038-4e1f-a1e9-b5939900feba"
"Stationary",5256,"1",1,"","2026-02-23T19:23:32.024217Z",1126773,3.131,"#C C stares at the television","Low body/hand motion, likely idle state.","r001","Cleaning","silver","Gold","",1218.1728919333334,"2026-02-23T19:23:32.024251Z","08f5fcdf-c038-4e1f-a1e9-b5939900feba"
"Search",5269,"1",1,"Essential Operation","2026-02-23T19:25:25.026260Z",1126774,110.466,"#C C turns the monitor","Head and hand movement for visual search or monitoring.","r001","Cooking","silver","Bad","",74.58794526666667,"2026-02-23T19:25:25.026293Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
"Stationary",5271,"1",1,"","2026-02-23T19:25:37.263990Z",1126775,6.676,"#c c dials the scale","Low body/hand motion, likely involves fine motor control with one hand.","r001","Cooking","silver","Gold","",593.7018952666667,"2026-02-23T19:25:37.264030Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
"Object Transfer",5276,"1",1,"Essential Operation","2026-02-23T19:26:03.228229Z",1126776,24.007,"#c c turns a light on","Turning on a light involves an action to manipulate an object (the light switch).","r001","Cooking","silver","Bad","",659.9784452666668,"2026-02-23T19:26:03.228243Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
"Object Transfer",5277,"1",1,"","2026-02-23T19:26:09.559472Z",1126777,5.037,"#c c picks a blender jug","Logistics step involving picking up an object.","r001","Cooking","silver","Gold","",677.5258052666667,"2026-02-23T19:26:09.559488Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
"Locomotion",5363,"1",1,"","2026-02-23T19:44:00.375607Z",1126778,1069.521,"#C C turns around a kitchen room","Movement through space, likely involves walking or turning which generates body acceleration.","r001","Cooking","silver","Gold","",839.9588752666667,"2026-02-23T19:44:00.375648Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
"Object Transfer",5365,"1",1,"","2026-02-23T19:44:06.014856Z",1126779,4.091,"#C C places tin on a kitchen counter","Logistics step involving picking up and placing an object.","r001","Cooking","silver","Gold","",846.5134352666668,"2026-02-23T19:44:06.014881Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
"Object Transfer",5366,"1",1,"","2026-02-23T19:44:23.812833Z",1126780,16.36,"#C C lifts a pan","Logistics step involving lifting an object.","r001","Cooking","silver","Gold","",860.5955252666668,"2026-02-23T19:44:23.812860Z","0fe191ef-c28a-422c-aede-46f8aa8532a6"
