video_uid,timestamp_sec,narration_text,scenario,action,reasoning,batch,round,status
000cd456-ff8d-499b-b0c1-4acead128a8b,311.61432704530256,#C C moves hand towards the face,Cleaning,Stationary,"Low body/hand motion, likely a minor gesture or itch.",8,r001,Gold
000cd456-ff8d-499b-b0c1-4acead128a8b,452.7314570453025,#C C picks a toy on the stool,Cleaning,Object Transfer,Logistics step involving picking up an object.,8,r001,Gold
001e3e4e-2743-47fc-8564-d5efd11f9e90,22.0735486,#C C opens the washing machine door,Cleaning,Object Transfer,Logistics action involving opening a door.,6,r002,Gold
002ad105-bd9a-4858-953e-54e88dc7587e,146.44464526666667,#C C rinses coriander,Cleaning,Essential Operation,Core manual task involving hand activity.,8,r001,Gold
002ad105-bd9a-4858-953e-54e88dc7587e,327.1179352666667,#C C stands along countertop,Cleaning,Stationary,"Low body/hand motion, indicating a pause or idle state.",8,r001,Gold
002ad105-bd9a-4858-953e-54e88dc7587e,406.3926052666666,#C C walks to fridge,Cleaning,Locomotion,"Movement through space, indicative of walking.",8,r001,Gold
002ad105-bd9a-4858-953e-54e88dc7587e,448.02297526666666,#C C walks computer desk,Cleaning,Locomotion,Body moving through space (walking).,8,r001,Gold
002ad105-bd9a-4858-953e-54e88dc7587e,453.5147452666667,#C C walks to Tv stand in living area,Cleaning,Locomotion,Body moving through space (walking).,8,r001,Gold
002ad105-bd9a-4858-953e-54e88dc7587e,566.9987819333334,#C C picks a remote,Cleaning,Object Transfer,"Logistics step, picking up an object.",8,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,15.2304596,#C C holds the bowl with her left hand.,Cooking,Stationary,"Low body/hand motion, holding an object.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,32.1870896,#C C touches the contents of the bowl with the spoon in her right hand.,Cooking,Stationary,"Low body/hand motion, primarily tactile interaction.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,45.751619600000005,#C C holds the small bucket of flour with her left hand.,Cooking,Stationary,Holding an object with minimal movement.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,88.91075959999999,#C C adjusts the tap with her right hand.,Cooking,Task Operation,Adjusting the tap involves a core manual task with focused hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,114.0592296,#C C puts the microwave power plug on the counter top with her right hand.,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,153.1915296,#C C turns on the tap with her right hand.,Cooking,Object Transfer,Turning on the tap is a logistics step involving interaction with an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,156.9325896,#C C rinses the spoon under the tap with both hands.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,167.0532996,#C C takes the bowl from her left hand with her right hand.,Cooking,Object Transfer,Logistics/Transfer step between hands.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,179.52054959999998,#C C turns off the tap with her right hand.,Cooking,Object Transfer,Logistics step involving interaction with an object (turning off the tap).,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,206.8806196,#C C closes the cabinet with her right hand.,Cooking,Object Transfer,Logistics step involving closing a cabinet.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,220.1997096,#C C adjusts an air fryer with both hands.,Cooking,Essential Operation,Adjusting the air fryer involves a core manual task with high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,237.5880596,#C C walks towards a dinning table.,Cooking,Locomotion,Body moving through space (walking).,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,256.65380960000005,#C C touches a chopping board with his right hand.,Cooking,Stationary,Logistics step involving interaction with an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,257.4668596,#C C adjusts some racks with both hands.,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,260.9716996,#C C carries a pot from a bigger pot with her right hand.,Cooking,Object Transfer,Logistics step involving moving an object from one location to another.,10,r001,Gold
