video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
08bd7380-821b-45b3-8fc7-01a0c6ed40ad,51.3039686,# C C puts on lights,Cleaning,Stationary,The action of turning on lights involves minimal body or hand movement.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,97.3648686,#C C picks plastic basin,Cooking,Object Transfer,Logistics/Setup step (picking up an object).,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,109.7599586,#C C looks around the sink,Cooking,Search,"Head movement (visual search), hands mostly still.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,160.2316286,#C C looks around the cabinet,Cooking,Search,"Head movement (visual search), hands mostly still.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,275.3647886,#C C places the container on the sink,Cooking,Object Transfer,Logistics step involving placing an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,324.3082619791667,#C C turns on the tap with her left hand.,Cooking,Object Transfer,Turning on the tap is a logistics step involving a specific action with the hand.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,416.6798119791667,#C C holds a fork in her right hand.,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,698.6438209546634,#C C picks packet from the cupboard,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1443.5791042879966,#C C puts the bowl on the pink bowl.,Cooking,Object Transfer,Logistics step involving placing an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1519.0318442879966,#C C moves the bowl on the sink.,Cooking,Object Transfer,Logistics step involving moving an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1520.0562842879967,#C C puts water in the bowl.,Cooking,Object Transfer,Logistics step involving picking up and placing down the water.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1573.4413842879967,#C C puts her hand inside the fridge.,Cooking,Object Transfer,Logistics step involving picking up or putting down an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1626.6157556213298,#C C puts a container on the counter top.,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1629.9035556213298,#C C moves to the cabinet.,Cooking,Locomotion,Movement through space to reach the cabinet.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1636.82081762133,#C C moves towards the counter.,Cooking,Locomotion,Body moving through space (towards the counter).,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1642.12173762133,#C C puts the container inside the cabinet.,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1645.36162762133,#C C moves to the counter.,Cooking,Locomotion,Body moving through space.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1713.20510762133,#C C picks dirt from the floor.,Cooking,Essential Operation,"[CtxFixed] Picking dirt from the floor is a continuation of the cleaning activity, which falls under the category of Essential Operation.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1743.55556762133,#O man X raises her hands.,Cooking,Stationary,"Low body/hand motion, raising hands does not involve movement through space or active task.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1813.73863762133,#C C pours #unsure from the bottle.,Cooking,Essential Operation,Core task involving hand activity.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1829.27311762133,#C C puts utensils on the rack.,Cooking,Object Transfer,Logistics step involving picking up and placing down objects.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1888.11039762133,#C C moves #unsure on the counter.,Cooking,Object Transfer,"[CtxFixed] The action describes moving an object (grill or some other item) on the counter, which fits the definition of Object Transfer.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,1987.1834619791664,#C C walks into a balcony.,Cooking,Locomotion,Body moving through space (walking).,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2012.5371219791664,#C C adjusts her camera with her right hand. #unsure,Cooking,Stationary,"Low body/hand motion, primarily adjusting with one hand.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2033.095541979167,#C C walks towards a brown door.,Cooking,Locomotion,"Movement through space, high body acceleration.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2035.0651719791667,#C C opens the brown door with her left hand. #unsure,Cooking,Object Transfer,Logistics action involving opening a door.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2045.6581619791664,#C C adjusts her camera with her left hand. #unsure,Cooking,Stationary,"Adjusting the camera with one hand while likely standing or sitting, low body and hand motion.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2049.1681919791667,#C C closes the brown door with her right hand.,Cooking,Object Transfer,Closing a door is a logistics action involving a specific object.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2067.7224119791667,#C C walks into a corridor.,Cooking,Locomotion,Body moving through space (walking).,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2080.3006619791668,#C C opens a door with her right hand. #unsure,Cooking,Object Transfer,Opening a door is a logistics step involving hand movement.,silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2150.0958119791667,#O The man B touches his face with his left hand. #unsure,Cooking,Stationary,"Low body/hand motion, likely idle or thinking.",silver,B01,r002
0b703793-134a-4889-bc40-c19328d8f7cd,2158.6090519791665,#C C holds a bag with both hands.,Cooking,Stationary,"Low body/hand motion, holding an object.",silver,B01,r002
