"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Stationary",1,"1",11,"","2026-02-22T03:21:50.308203Z",1,260.308,"#O man A claps his hands","Clapping hands can be considered a stationary action if it is not part of a larger movement or locomotion.","r001","Playing Instrument","silver","Gold","",7.299668599999999,"2026-02-23T00:28:31.304351Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",2,"1",11,"","2026-02-22T03:42:43.067989Z",2,18.235,"#C C divides the cards","The action of dividing cards is a low-energy, stationary activity.","r001","Playing Instrument","silver","","Skip",16.587258600000002,"2026-02-22T03:42:43.068002Z","07884569-3860-4a20-8c85-278eefbd678e"
"Object Transfer",3,"1",11,"Stationary","2026-02-22T03:43:31.898474Z",3,46.991,"#O man A puts hand on top of the hand of C","Logistics step involving a physical interaction.","r001","Playing Instrument","silver","Bad","",122.2879386,"2026-02-22T03:43:31.898491Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",4,"1",11,"","2026-02-22T03:43:47.414320Z",4,13.063,"#C C pulls up the sweater","The action of pulling up a sweater is a brief, low-energy motion.","r001","Playing Instrument","silver","Gold","",182.7122886,"2026-02-22T03:43:47.414332Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",5,"1",11,"","2026-02-22T03:47:59.870446Z",5,12.894,"#O man A picks the cards","The action described seems unrelated to playing an instrument and does not involve significant body or hand motion.","r001","Playing Instrument","silver","","Skip",219.2124486,"2026-02-22T03:47:59.870466Z","07884569-3860-4a20-8c85-278eefbd678e"
"Object Transfer",14,"1",11,"Stationary","2026-02-22T04:03:52.031937Z",6,29.721,"#C C puts hand up","Logistics/Setup step (putting hand up to likely hold an instrument).","r001","Playing Instrument","silver","Bad","",297.6517961585938,"2026-02-22T04:03:52.031949Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",6,"1",11,"","2026-02-22T03:56:50.775072Z",7,13.582,"#O man A points at the cards","The action describes a pointing gesture which involves minimal body movement.","r001","Playing Instrument","silver","Gold","",675.3943343045785,"2026-02-22T03:56:50.775094Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",7,"1",11,"","2026-02-22T03:56:59.638167Z",8,5.496,"#C C pulls up his sweater","The action of pulling up a sweater is a brief, low-energy motion.","r001","Playing Instrument","silver","Gold","",814.2123843045784,"2026-02-22T03:56:59.638181Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",8,"1",11,"","2026-02-22T03:58:59.036974Z",9,10.703,"#C C swipes on the phone","Low body/hand motion, likely focused on the phone.","r001","Playing Instrument","silver","Gold","",937.053897144922,"2026-02-22T03:58:59.036989Z","07884569-3860-4a20-8c85-278eefbd678e"
"Stationary",9,"1",11,"","2026-02-22T04:01:24.545087Z",10,8.446,"#C C puts hands up","The action describes a preparatory movement without active engagement with the instrument, indicating low energy and no significant motion.","r001","Playing Instrument","silver","Gold","",1160.6129573792969,"2026-02-22T04:01:24.545102Z","07884569-3860-4a20-8c85-278eefbd678e"
"Locomotion",10,"1",11,"","2026-02-22T04:01:53.480246Z",11,24.689,"#C C catches up with a man H","[CtxFixed] The current action describes the continuation of movement, specifically catching up with another person, which falls under the category of Locomotion.","r001","Cleaning","silver","","Skip",102.0612,"2026-02-22T04:01:53.480260Z","09c98c4f-dc2a-429b-8afa-624211cd4bfd"
"Object Transfer",11,"1",11,"","2026-02-22T04:02:09.585995Z",12,19.689,"#C C puts a packet of # #unsure inside the container","Logistics step involving picking up and placing an item.","r001","Cleaning","silver","Gold","",27.679625266666665,"2026-02-23T00:32:37.867523Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Locomotion",12,"1",11,"Object Transfer","2026-02-22T04:03:07.766906Z",13,55.387,"#C C carries a packet of wipes up","Body moving through space with an object, high body acceleration.","r001","Cleaning","silver","Bad","",33.33901526666667,"2026-02-22T04:03:07.766921Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Locomotion",13,"1",11,"Object Transfer","2026-02-22T04:03:30.932025Z",14,12.538,"#C C carries up a plastic container","Body moving through space with an object.","r001","Cleaning","silver","Bad","",33.80511526666667,"2026-02-22T04:03:30.932039Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Object Transfer",15,"1",11,"","2026-02-22T04:19:16.779932Z",15,922.113,"#C C picks the suitcase","Logistics step involving picking up an object.","r001","Cleaning","silver","Gold","",37.396665266666666,"2026-02-22T04:19:16.779944Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Object Transfer",16,"1",11,"","2026-02-22T19:16:41.027507Z",16,27.596,"#C C opens the suitcase","Opening an object, which involves a short burst of hand activity.","r001","Cleaning","silver","Gold","",48.96405526666667,"2026-02-22T21:53:59.712460Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Object Transfer",17,"1",11,"","2026-02-22T19:16:52.068440Z",17,9.475,"#C C puts the monitor on the coach","Logistics/Setup step involving moving an object.","r001","Cleaning","silver","Gold","",160.92219526666668,"2026-02-22T19:16:52.068455Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Locomotion",18,"1",11,"","2026-02-22T19:17:03.212396Z",18,8.08,"#C C walks back to the room","Body moving through space (walking).","r001","Cleaning","silver","Gold","",166.67951526666667,"2026-02-22T19:17:03.212420Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Stationary",19,"1",11,"","2026-02-22T19:17:13.472830Z",19,9.177,"#C C holds the chair with the hand","Low body/hand motion, holding an object without movement.","r001","Cleaning","silver","Gold","",183.2158552666667,"2026-02-22T19:17:13.472862Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
"Essential Operation",20,"1",11,"","2026-02-22T19:17:21.040683Z",20,6.564,"#C C folds the electrical cable","Core manual task involving hand manipulation.","r001","Cleaning","silver","Gold","",192.92611526666667,"2026-02-22T19:17:21.040696Z","0cf71e76-0ed9-4fb9-875f-be49528105b7"
