video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
3c0dffd0-e38e-4643-bc48-d513943dc20b,0.0210286,#C C touches the phone,Cooking,Stationary,"Low body/hand motion, likely involves minimal movement.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,3.3004786000000004,#O person X stands across the kitchen,Cooking,Locomotion,Movement through space (standing across the kitchen involves moving to a position).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,4.8137586,#O person X claps his hands,Cooking,Stationary,"Low body/hand motion, short burst of hand movement.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,8.3812286,#C C holds the pan,Cooking,Stationary,"Low body/hand motion, holding an object without moving.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,9.6295186,#O person X stirs potatoes in the cooking pot,Cooking,Essential Operation,Core task involving repetitive hand movements.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,13.2135686,#C C stirs gravy sauce in the pan,Cooking,Essential Operation,Core task involving repetitive hand movements.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,17.830498600000002,#C C opens the oven,Cooking,Object Transfer,Logistics step involving opening a drawer or similar action.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,23.0152786,#C C removes the oven plate,Cooking,Object Transfer,Logistics step involving picking up and removing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,24.6398186,#C C puts the oven plate on the counter,Cooking,Object Transfer,Logistics step involving moving an object from one place to another.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,26.7671786,#C C closes the oven,Cooking,Stationary,Closing the oven is a brief action with minimal movement.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,28.9281486,#C C picks up a spatula,Cooking,Object Transfer,"Logistics/Setup step, picking up an object.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,36.0964786,#C C moves the sausages on the oven plate,Cooking,Locomotion,"Body moving through space to move the sausages, likely involves significant body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,52.1776886,#C C opens the oven,Cooking,Object Transfer,Logistics action involving opening a drawer or similar object interaction.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,55.0910986,#C C picks up the oven plate with sausages,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,57.3154186,#C C puts the oven plate in the oven,Cooking,Object Transfer,Logistics step involving picking up and placing the oven plate.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,58.9475986,#C C closes the oven door,Cooking,Object Transfer,Logistics action involving the interaction with an object (closing the oven door).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,60.7542886,#C C puts the oven gloves on the oven door,Cooking,Object Transfer,Logistics step involving picking up and placing oven gloves.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,65.12949859999999,#C C moves #unsure on the kitchen counter,Cooking,Object Transfer,"[CtxFixed] The action describes C moving something onto the kitchen counter, which indicates a deliberate placement of an object.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,66.53659859999999,#C C shakes the pan,Cooking,Locomotion,"Body movement involved in shaking the pan, likely involves high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,68.7931486,#C C stirs gravy sauce in the pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,73.70586859999999,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space, indicative of walking.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,77.3374286,#C C looks around,Cooking,Search,"Head movement (visual search), hands mostly still.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,82.1933986,#C C opens the dish washer,Cooking,Object Transfer,Logistics step involving opening a drawer or container.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,85.02692859999999,#C C takes out the measuring jug from the dish washer,Cooking,Object Transfer,Logistics step involving picking up and moving an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,92.4595086,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space (walking), high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,95.4112986,#C C pours water in the pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,96.8116986,#C C puts the measuring jug on the kitchen counter,Cooking,Object Transfer,Logistics step involving picking up and placing down an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,98.8517186,#C C stirs gravy sauce in the pan,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,138.6827586,#C C stirs gravy sauce in the pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,165.2501186,#C C picks up the measuring jug,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,167.3301586,#C C pours water in the pan,Cooking,Essential Operation,Core task involving manual operation with high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,170.3147286,#C C puts the measuring jug on the kitchen counter,Cooking,Object Transfer,"Logistics/Setup step, short burst of hand activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,171.17079859999998,#C C stirs gravy sauce in the pan,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,192.9147886,#O person X stirs #unsure in the cooking pot,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,203.8258286,#C C picks up the spatula,Cooking,Object Transfer,Logistics action of picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,204.8728086,#C C puts the spatula aside,Cooking,Object Transfer,Logistics step of putting an object aside.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,206.8687286,#C C picks up a paper,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,209.7970786,#C C looks around,Cooking,Search,"Head movement (visual search), hands mostly still.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,213.0401486,#C C puts the paper in the dustbin,Cooking,Object Transfer,Logistics step involving picking up and disposing of an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,215.8252386,#C C picks up the cooking spoon,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,216.5210186,#C C stirs #unsure with the cooking spoon,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,239.0332886,#O person X stirs the gravy sauce,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,248.6132486,#C C moves the kitchen cloth,Cooking,Object Transfer,Logistics step involving moving an object (kitchen cloth).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,251.0725786,#C C moves the bottle,Cooking,Object Transfer,"Movement of an object (bottle), likely involves picking up and moving it to a different location.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,252.8264886,#C C opens the butter container,Cooking,Object Transfer,Logistics/Setup step involving opening a container.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,259.2890286,#C C puts the butter container on the counter,Cooking,Object Transfer,Logistics step involving picking up and placing down an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,263.3125286,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space, involves walking.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,265.48787860000004,#C C stirs the gravy sauce,Cooking,Essential Operation,"Core manual task, high hand activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,274.5034086,#C C picks up the measuring jug,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,275.61494860000005,#C C pours water in the pan,Cooking,Essential Operation,Core task involving manual activity with the hands.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,278.1792386,#C C puts the measuring jug on the counter,Cooking,Object Transfer,"Logistics/Setup step, short bursts of hand activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,279.1802786,#C C stirs the gravy sauce,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,290.3154586458333,#O person X leans a spoon on a cooking pot,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,292.7741686458333,#O person X moves,Cooking,Stationary,"The action is vague and implies no specific movement, suggesting a low-energy state such as idle or waiting.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,294.01415864583333,#C C picks a spoon,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,295.02579864583333,#C C stirs food,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,298.5704286458333,#C C holds the red cooking spoon,Cooking,Stationary,"Low body/hand motion, holding an object without moving.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,300.37469864583335,#C C stirs onions,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,304.35763864583333,#C C picks a jug with water,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,305.68032864583336,#C C pours water on pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,307.7518786458333,#C C stirs onions,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,315.02086864583333,#C C picks the jug,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,315.7321686458333,#C C walks around,Cooking,Locomotion,"Body moving through space, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,317.31107864583333,#C C places the jug on sink,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,318.2985886458333,#C C picks a bowl,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,319.04319864583334,#C C pours water on sink,Cooking,Essential Operation,Core task involving manual pouring action.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,319.7766586458333,#C C places the bowl down,Cooking,Object Transfer,"Logistics step, placing an object down.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,321.2147686458333,#C C picks the scrubber,Cooking,Object Transfer,Logistics/Setup step (picking up an object).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,321.77270864583335,#C C inserts the scrubber in water,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,322.3501486458333,#C C scrubs the jug,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,329.25640864583335,#C C opens the tap,Cooking,Object Transfer,Logistics/Setup step (opening the tap).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,330.41749864583335,#C C rinses the jug,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,334.05847864583336,#C C closes the tap,Cooking,Essential Operation,Core task involving manual operation to stop water flow.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,335.0985086458333,#C C places the jug on dish rack,Cooking,Object Transfer,Logistics step involving picking up and placing down the jug.,silver
