video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
07884569-3860-4a20-8c85-278eefbd678e,7.299668599999999,#O man A claps his hands,Playing Instrument,Stationary,Clapping hands can be considered a stationary action if it is not part of a larger movement or locomotion.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,10.9325686,#C C folds his hands,Playing Instrument,Stationary,"Low body/hand motion, no active movement.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,16.587258600000002,#C C divides the cards,Playing Instrument,Stationary,"The action of dividing cards is a low-energy, stationary activity.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,103.9643886,#C C puts hand on the cards,Playing Instrument,Object Transfer,Logistics/Setup step.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,122.2879386,#O man A puts hand on top of the hand of C,Playing Instrument,Object Transfer,Logistics step involving a physical interaction.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,171.62465859999998,#C C drinks water,Playing Instrument,Stationary,Drinking water is typically a low-energy activity with minimal body or hand motion.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,182.7122886,#C C pulls up the sweater,Playing Instrument,Stationary,"The action of pulling up a sweater is a brief, low-energy motion.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,219.2124486,#O man A picks the cards,Playing Instrument,Stationary,The action described seems unrelated to playing an instrument and does not involve significant body or hand motion.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,287.0933361585938,#C C talks,Playing Instrument,Stationary,Low body/hand motion.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,297.6517961585938,#C C puts hand up,Playing Instrument,Object Transfer,Logistics/Setup step (putting hand up to likely hold an instrument).,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,315.06335615859376,#C C moves hand on the table,Playing Instrument,Stationary,"Low body/hand motion, likely preparing or resting during playing.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,340.5042061585938,#C C puts hand up,Playing Instrument,Object Transfer,"Logistics step, putting hand up (likely to play the instrument).",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,393.1449861585938,#C C drinks water,Playing Instrument,Stationary,"Drinking water is a low-energy action, typically stationary.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,562.6726443045785,#C C puts hand up,Playing Instrument,Stationary,The action describes a hand movement that is likely preparatory and does not involve significant motion or activity.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,675.3943343045785,#O man A points at the cards,Playing Instrument,Stationary,The action describes a pointing gesture which involves minimal body movement.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,676.7007243045784,#C C picks the cards,Playing Instrument,Object Transfer,Logistics action of picking up objects.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,677.7349443045784,#O man A points at the cards,Playing Instrument,Stationary,"Low body/hand motion, pointing does not involve much movement.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,811.4532043045784,#C C picks cards,Playing Instrument,Stationary,"The action involves picking cards, which is a low-energy activity with minimal body movement.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,814.2123843045784,#C C pulls up his sweater,Playing Instrument,Stationary,"The action of pulling up a sweater is a brief, low-energy motion.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,860.495357144922,#C C puts hand up,Playing Instrument,Stationary,"Low body/hand motion, likely preparing to play.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,928.673307144922,#C C picks the cards,Playing Instrument,Object Transfer,Logistics step involving picking up objects.,silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,937.053897144922,#C C swipes on the phone,Playing Instrument,Stationary,"Low body/hand motion, likely focused on the phone.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,975.387887144922,#C C divides the cards,Playing Instrument,Stationary,"The action of dividing cards is a low-energy, stationary task.",silver,11,r001
07884569-3860-4a20-8c85-278eefbd678e,1160.6129573792969,#C C puts hands up,Playing Instrument,Stationary,"The action describes a preparatory movement without active engagement with the instrument, indicating low energy and no significant motion.",silver,11,r001
09c98c4f-dc2a-429b-8afa-624211cd4bfd,102.0612,#C C catches up with a man H,Cleaning,Locomotion,"[CtxFixed] The current action describes the continuation of movement, specifically catching up with another person, which falls under the category of Locomotion.",silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,27.679625266666665,#C C puts a packet of # #unsure inside the container,Cleaning,Object Transfer,Logistics step involving picking up and placing an item.,silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,33.33901526666667,#C C carries a packet of wipes up,Cleaning,Locomotion,"Body moving through space with an object, high body acceleration.",silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,33.80511526666667,#C C carries up a plastic container,Cleaning,Locomotion,Body moving through space with an object.,silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,34.266315266666666,#C C makes a step,Cleaning,Locomotion,"Body moving through space, indicative of walking or stepping.",silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,37.396665266666666,#C C picks the suitcase,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,48.96405526666667,#C C opens the suitcase,Cleaning,Object Transfer,"Opening an object, which involves a short burst of hand activity.",silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,160.92219526666668,#C C puts the monitor on the coach,Cleaning,Object Transfer,Logistics/Setup step involving moving an object.,silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,166.67951526666667,#C C walks back to the room,Cleaning,Locomotion,Body moving through space (walking).,silver,11,r001
0cf71e76-0ed9-4fb9-875f-be49528105b7,183.2158552666667,#C C holds the chair with the hand,Cleaning,Stationary,"Low body/hand motion, holding an object without movement.",silver,11,r001
