action,annotation_id,annotator,batch,corrected_action,created_at,id,lead_time,narration_text,reasoning,round,scenario,status,status_main,status_secondary,timestamp_sec,updated_at,video_uid
Stationary,1243.0,8.0,2,Essential Operation,2026-02-22T21:58:59.505120Z,1128247,19.965,#C C stretches bedsheet,"Low body/hand motion, more about adjusting position rather than movement through space.",r001,Cleaning,silver,Bad,,2324.134980954664,2026-02-22T21:58:59.505149Z,01111831-9107-43c4-bf0e-6b26e9b32a2b
Essential Operation,1244.0,8.0,2,,2026-02-22T22:02:22.595693Z,1128248,105.096,#C C cuts out some part of the plastic cord inside the cable with the wire cutter.,Core manual task involving high hand activity.,r001,Carpentry,silver,Gold,,252.7664096,2026-02-22T22:02:22.595708Z,0377792b-7b1e-4d67-86fd-f50c9257ea85
Stationary,1245.0,8.0,2,Essential Operation,2026-02-22T22:02:38.811209Z,1128249,13.9,#C C hooks the wire cutter to his trousers with his right hand. #Unsure,"The action involves attaching an object to clothing, which is a brief and stationary motion with low energy.",r001,Carpentry,silver,Bad,,935.3795152666668,2026-02-22T22:02:38.811242Z,0377792b-7b1e-4d67-86fd-f50c9257ea85
Stationary,1246.0,8.0,2,,2026-02-22T22:02:43.339123Z,1128250,3.67,#C C speaks to child Z.,Low body/hand motion.,r001,Cooking,silver,Gold,,1182.1465542879969,2026-02-22T22:02:43.339137Z,0b703793-134a-4889-bc40-c19328d8f7cd
Object Transfer,1247.0,8.0,2,,2026-02-22T22:02:47.031285Z,1128251,2.616,#C C puts the dough on the counter.,"Logistics step, moving the dough to the counter.",r001,Cooking,silver,Gold,,1460.3320342879967,2026-02-22T22:02:47.031300Z,0b703793-134a-4889-bc40-c19328d8f7cd
Essential Operation,1248.0,8.0,2,,2026-02-22T22:02:48.956202Z,1128252,1.036,#C C plays a piano,Core task involving high hand activity and precision.,r001,Cooking,silver,Gold,,4144.293330954663,2026-02-22T22:02:48.956225Z,0b703793-134a-4889-bc40-c19328d8f7cd
Stationary,1249.0,8.0,2,,2026-02-22T22:03:01.665819Z,1128253,11.927,#C C touches the paint brush with his left hand,"Low body/hand motion, likely preparing to use the brush.",r001,Mechanical Repair,silver,Gold,,284.8670186,2026-02-22T22:03:01.665833Z,0cb2dd94-afb1-4e30-a62f-724f34d81777
Essential Operation,1250.0,8.0,2,,2026-02-22T22:03:06.070685Z,1128254,3.465,#C C brushes the wooden rail with the paint brush,Core manual task involving high hand activity.,r001,Mechanical Repair,silver,Gold,,341.0092886,2026-02-22T22:03:06.070701Z,0cb2dd94-afb1-4e30-a62f-724f34d81777
Stationary,1251.0,8.0,2,,2026-02-22T22:03:08.923469Z,1128255,2.01,#C C touches the paint brush on his left hand,"Low body/hand motion, likely holding the brush.",r001,Mechanical Repair,silver,Gold,,504.2821586,2026-02-22T22:03:08.923493Z,0cb2dd94-afb1-4e30-a62f-724f34d81777
Search,1252.0,8.0,2,,2026-02-22T22:03:21.335121Z,1128256,14.799,#C C looks at person A,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,silver,,Skip,108.51484,2026-02-22T22:03:24.696349Z,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,1253.0,8.0,2,Stationary,2026-02-22T22:03:54.632838Z,1128257,29.008,#O Person A looks at person C,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,silver,Bad,,490.71991,2026-02-22T22:03:54.632856Z,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,1254.0,8.0,2,,2026-02-22T22:03:57.945106Z,1128258,2.381,#C C looks at the bridge,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,silver,Gold,,673.0045933333333,2026-02-22T22:03:57.945121Z,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,1255.0,8.0,2,Stationary,2026-02-22T22:04:01.089685Z,1128259,12.57,#C C looks at the building,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,silver,Gold,,1339.9398466666669,2026-02-22T22:04:31.223096Z,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,1256.0,8.0,2,Stationary,2026-02-22T22:04:11.840743Z,1128260,9.974,#C C looks at the lights,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,silver,Gold,,1556.2687766666668,2026-02-22T22:04:11.840781Z,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Object Transfer,1257.0,8.0,2,Essential Operation,2026-02-22T22:04:58.941872Z,1128261,26.105,#C C Pours the drink into the glass,"Logistics step involving pouring, which involves short bursts of hand acceleration.",r001,Cooking,silver,Gold,,202.2818686,2026-02-22T22:04:58.941888Z,106e9447-8a09-4e89-964e-61c927827a56
Stationary,1258.0,8.0,2,Essential Operation,2026-02-22T22:05:09.646901Z,1128262,9.951,# C C Shakes the food with right hand,"Low body/hand motion, shaking is a small movement.",r001,Cooking,silver,Bad,,938.6137937171876,2026-02-22T22:05:09.646919Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1259.0,8.0,2,,2026-02-22T22:05:16.584609Z,1128263,5.932,# C C Picks beetroot from the chopping board,Logistics step involving picking up an object.,r001,Cooking,silver,Gold,,939.1955337171876,2026-02-22T22:05:16.584624Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1260.0,8.0,2,,2026-02-22T22:05:20.674918Z,1128264,3.362,# C C Places the sauce pan on the stove,Logistics step involving placing an object.,r001,Cooking,silver,Gold,,989.4646237171876,2026-02-22T22:05:20.674932Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1261.0,8.0,2,,2026-02-22T22:05:24.733300Z,1128265,3.201,# C C Places the weigh meter on the chopping board,Logistics step involving placing an object.,r001,Cooking,silver,Gold,,998.8165337171876,2026-02-22T22:05:24.733324Z,106e9447-8a09-4e89-964e-61c927827a56
Locomotion,1262.0,8.0,2,,2026-02-22T22:05:30.327648Z,1128266,4.904,# C C Walks towards the staircase,Body moving through space (walking).,r001,Cooking,silver,Gold,,1010.7628337171876,2026-02-22T22:05:30.327662Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1263.0,8.0,2,,2026-02-22T22:05:33.298497Z,1128267,2.199,# C C Picks #unsure from the counter top,"Logistics step of picking up an object, involves a short burst of hand acceleration.",r001,Cooking,silver,Gold,,1049.0933237171876,2026-02-22T22:05:33.298536Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1264.0,8.0,2,Essential Operation,2026-02-22T22:05:43.986754Z,1128268,10.03,# C C Pours water into the sink,"Logistics step involving pouring, which is a transfer action.",r001,Cooking,silver,Gold,,1131.9824680269608,2026-02-22T22:05:43.986768Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1265.0,8.0,2,,2026-02-22T22:05:48.790684Z,1128269,4.151,# C C picks stainer from the cupboard,"Logistics/Setup step, picking up an object.",r001,Cooking,silver,Gold,,1300.4001080269604,2026-02-22T22:05:48.790716Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1266.0,8.0,2,,2026-02-22T22:05:54.590686Z,1128270,4.533,# C C Places the strainer on the sauce pan,Logistics step involving placing an object.,r001,Cooking,silver,Gold,,1302.8155780269606,2026-02-22T22:05:54.590708Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1267.0,8.0,2,,2026-02-22T22:05:56.315589Z,1128271,1.036,# C C Places the veggies into the stainer,Logistics step involving placing objects.,r001,Cooking,silver,Gold,,1308.4524880269605,2026-02-22T22:05:56.315603Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1268.0,8.0,2,,2026-02-22T22:05:58.446138Z,1128272,1.288,# C C Opens the drawer,Logistics/Setup step involving opening a drawer.,r001,Cooking,silver,Gold,,1345.5145980269606,2026-02-22T22:05:58.446161Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1269.0,8.0,2,Essential Operation,2026-02-22T22:06:02.415976Z,1128273,12.059,#C C puts the food in the chopping board,Logistics step involving moving the food to the chopping board.,r001,Cooking,silver,Bad,,1397.8501532484372,2026-02-22T22:06:11.645607Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1270.0,8.0,2,,2026-02-22T22:06:14.830820Z,1128274,2.321,#C C picks a container lid,Logistics action involving picking up an object.,r001,Cooking,silver,Gold,,1427.9021132484372,2026-02-22T22:06:14.830842Z,106e9447-8a09-4e89-964e-61c927827a56
Essential Operation,1271.0,8.0,2,,2026-02-22T22:06:19.529878Z,1128275,3.618,#C C shakes the water bottle,Shaking involves high hand activity and is a core manual task.,r001,Cooking,silver,Gold,,1586.9400332484372,2026-02-22T22:06:19.529903Z,106e9447-8a09-4e89-964e-61c927827a56
Essential Operation,1272.0,8.0,2,,2026-02-22T22:06:25.831907Z,1128276,5.559,#C C pours milk to his hand,Core task involving high hand activity.,r001,Cooking,silver,Gold,,1589.1732632484373,2026-02-22T22:06:25.831922Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1273.0,8.0,2,,2026-02-22T22:06:33.011138Z,1128277,3.843,#C C drops gloves on the slab.,"[CtxFixed] The action of dropping gloves on the slab indicates a deliberate placement of an object, which fits the definition of 'Object Transfer'.",r001,Cooking,silver,Gold,,1694.4589433046135,2026-02-22T22:06:33.011170Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1274.0,8.0,2,,2026-02-22T22:06:34.898543Z,1128278,1.117,#C C drops knife down.,Refined via regex fallback,r001,Cooking,silver,Gold,,1757.4855933046138,2026-02-22T22:06:34.898567Z,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,1275.0,8.0,2,,2026-02-22T22:06:36.490678Z,1128279,0.901,#C C picks knife.,Logistics/Setup step.,r001,Cooking,silver,Gold,,1814.8371433046136,2026-02-22T22:06:36.490712Z,106e9447-8a09-4e89-964e-61c927827a56
Locomotion,1276.0,8.0,2,,2026-02-22T22:06:42.483321Z,1128280,5.288,#C c shoots the basket ball to the hoop,"Body movement through space, likely involves walking or running to shoot the basketball.",r001,Walking Outdoors,silver,Gold,,110.32231,2026-02-22T22:06:42.483344Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
Object Transfer,1277.0,8.0,2,,2026-02-22T22:06:51.807986Z,1128281,8.469,#C c takes the ball from the field,"The action involves picking up an object (the ball), which is a logistics step.",r001,Walking Outdoors,silver,Gold,,122.74464,2026-02-22T22:06:51.808009Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,1278.0,8.0,2,,2026-02-22T22:06:56.504003Z,1128282,3.998,#C c bounces the ball,The action involves a high level of hand activity with the ball.,r001,Walking Outdoors,silver,Gold,,201.37944,2026-02-22T22:06:56.504016Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,1279.0,8.0,2,,2026-02-22T22:07:00.422394Z,1128283,3.141,#C C catches the basketball,High hand activity involved in catching the ball.,r001,Walking Outdoors,silver,Gold,,347.27056,2026-02-22T22:07:00.422409Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,1280.0,8.0,2,Object Transfer,2026-02-22T22:07:14.794172Z,1128284,18.82,#O man X throws the basketball in the basket,"The action involves a specific task (throwing the ball into the basket), which is a core manual task.",r001,Walking Outdoors,silver,Gold,,356.04047,2026-02-22T22:07:29.326268Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,1281.0,8.0,2,,2026-02-22T22:07:18.011351Z,1128285,2.194,#C C walks towards the basketball,"Body moving through space, indicative of walking.",r001,Walking Outdoors,silver,Gold,,441.5872,2026-02-22T22:07:18.011374Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
Object Transfer,1282.0,8.0,2,,2026-02-22T22:07:22.785153Z,1128286,7.121,#O x takes the ball,"Taking an object (the ball), involves a short burst of hand activity.",r001,Walking Outdoors,silver,Gold,,595.8651866666667,2026-02-22T22:19:06.248627Z,114cdc4b-4ae5-4938-8218-151e1e35b3db
