global_rank,video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round,normalized_narration_stage2,dataset_rows_covered_if_validated,high_priority_review,high_priority_reason,watchlist_hit,historical_bad_count,historical_checked_count,historical_bad_rate,annotation_id,annotator,created_at,updated_at,lead_time,verdict,task_id,project,inner_id,corrected_action,secondary_action
2157,02497a97-5de2-469c-b2e9-c940b78c2060,1971.2861366666664,#C C negotiates the corner,Walking Outdoors,Locomotion,"Body moving through space, turning a corner involves significant body acceleration.",silver,4,r002,negotiates corner,8,no,,no,0,0,0.0,1,1,2026-03-02T13:28:59.849617Z,2026-03-02T13:28:59.849630Z,54.243,Gold,1001,2,1,,
10833,02ca6897-bf08-4cfb-bbc7-7810dbf5cca2,25.5239,#C C negotiates the junction.,Mechanical Repair,Stationary,"Negotiation implies communication, which typically involves low body and hand motion.",silver,4,r002,negotiates junction,3,no,,no,0,0,0.0,2,1,2026-03-02T22:20:11.949006Z,2026-03-02T22:20:11.949021Z,31870.749,Bad,1002,2,2,Essential Operation,
1474,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,4.9748386,#C C pulls a card,Playing Instrument,Object Transfer,"Logistics action (pulling a card), involves picking up and moving an object.",silver,4,r002,pulls card,10,no,,no,0,0,0.0,3,1,2026-03-02T22:21:51.739282Z,2026-03-02T22:21:51.739300Z,98.646,Gold,1003,2,3,,
11633,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,12.4918386,#C C places the card beneath cards,Playing Instrument,Object Transfer,"Logistics step, placing an object.",silver,4,r002,places card beneath cards,3,no,,no,0,0,0.0,4,1,2026-03-02T22:21:56.019956Z,2026-03-02T22:21:56.019969Z,3.093,Gold,1004,2,4,,
4680,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,14.3015986,#C C inserts card beneath cards,Playing Instrument,Object Transfer,"Logistics step, inserting a card.",silver,4,r002,inserts card beneath cards,5,no,,no,0,0,0.0,5,1,2026-03-02T22:25:54.335723Z,2026-03-02T22:25:54.335738Z,237.267,Gold,1005,2,5,,
279,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,37.7640886,#O person X picks cards,Playing Instrument,Object Transfer,Logistics/Setup step involving picking up objects (cards).,silver,4,r002,person x picks cards,24,no,,no,0,0,0.0,6,1,2026-03-02T22:26:36.073037Z,2026-03-02T22:26:36.073050Z,40.826,Gold,1006,2,6,,
10998,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,42.1126986,#O person X spreads cards,Playing Instrument,Stationary,The action of spreading cards is a setup/logistics step with minimal body movement.,silver,4,r002,person x spreads cards,3,no,,no,0,0,0.0,7,1,2026-03-02T23:31:20.996172Z,2026-03-02T23:31:20.996185Z,3883.856,Bad,1007,2,7,Object Transfer,
17,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,60.4855386,#C C spreads the cards,Playing Instrument,Stationary,"The action of spreading cards is typically done while standing or sitting still, with minimal body movement.",silver,4,r002,spreads cards,92,yes,historical_bad,no,8,8,1.0,8,1,2026-03-02T23:31:26.021506Z,2026-03-02T23:31:26.021519Z,3.969,Bad,1008,2,8,Object Transfer,
10997,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,83.1681986,#O person X spreads cards,Playing Instrument,Object Transfer,Logistics/Setup step involving spreading cards.,silver,4,r002,person x spreads cards,3,no,,no,0,0,0.0,9,1,2026-03-02T23:31:30.419813Z,2026-03-02T23:31:30.419826Z,3.133,Gold,1009,2,9,,
2243,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,149.55841859999998,#C C places cards down,Playing Instrument,Object Transfer,Logistics/Setup step involving placing cards down.,silver,4,r002,places cards down,8,no,,no,0,0,0.0,10,1,2026-03-02T23:31:34.547206Z,2026-03-02T23:31:34.547224Z,2.184,Gold,1010,2,10,,
2762,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,179.50708859999995,#O person X hits cards on table,Playing Instrument,Essential Operation,Core task involving active hand movement.,silver,4,r002,person x hits cards on table,7,no,,no,0,0,0.0,11,1,2026-03-02T23:31:39.567510Z,2026-03-02T23:31:39.567523Z,4.097,Gold,1011,2,11,,
7004,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,203.7512186,#O person X inserts card beneath cards,Playing Instrument,Object Transfer,Logistics step involving inserting a card.,silver,4,r002,person x inserts card beneath cards,4,no,,no,0,0,0.0,12,1,2026-03-02T23:31:51.035617Z,2026-03-02T23:31:51.035635Z,5.409,Gold,1012,2,12,,
1759,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,219.1158486,#O person X places the cards on table,Playing Instrument,Object Transfer,Logistics step of placing cards on table.,silver,4,r002,person x places cards on table,9,no,,no,0,0,0.0,13,1,2026-03-02T23:33:54.046618Z,2026-03-02T23:33:54.046630Z,121.965,Gold,1013,2,13,,
3591,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,242.8413086,#O person X places card on table,Playing Instrument,Object Transfer,"Logistics/Setup step, placing an object (card) on a surface (table).",silver,4,r002,person x places card on table,6,no,,no,0,0,0.0,14,1,2026-03-02T23:33:57.580471Z,2026-03-02T23:33:57.580488Z,2.428,Gold,1014,2,14,,
1361,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,247.2169886,#C C and X spreads cards,Playing Instrument,Object Transfer,"Logistics step, spreading cards involves picking up and placing down cards.",silver,4,r002,and x spreads cards,10,no,,no,0,0,0.0,15,1,2026-03-02T23:34:01.825518Z,2026-03-02T23:34:01.825539Z,3.312,Gold,1015,2,15,,
10962,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,360.3609687026078,#O person X bends,Playing Instrument,Locomotion,"Body movement through space, indicative of bending motion.",silver,4,r002,person x bends,3,no,,no,0,0,0.0,16,1,2026-03-02T23:34:04.836832Z,2026-03-02T23:34:04.836848Z,2.048,Gold,1016,2,16,,
9305,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,371.82148870260784,#O person X moves the cards on table,Playing Instrument,Object Transfer,"Logistics step involving moving cards, short bursts of hand activity.",silver,4,r002,person x moves cards on table,3,yes,watchlist_verb,yes,0,0,0.0,17,1,2026-03-02T23:34:12.331146Z,2026-03-02T23:34:12.331159Z,2.397,Gold,1017,2,17,,
8765,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,568.1425621677084,#C C holds cards with right hand,Playing Instrument,Stationary,"Low body/hand motion, holding position.",silver,4,r002,holds cards with right hand,3,yes,watchlist_verb,yes,0,0,0.0,18,1,2026-03-02T23:34:14.893260Z,2026-03-02T23:34:14.893277Z,1.221,Gold,1018,2,18,,
11000,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,696.8229121677084,#O person X stares at card,Playing Instrument,Stationary,"Low body/hand motion, visual focus.",silver,4,r002,person x stares at card,3,no,,no,0,0,0.0,19,1,2026-03-02T23:34:18.981123Z,2026-03-02T23:34:18.981137Z,3.1,Bad,1019,2,19,Search,
2670,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,726.1664021677084,#C C hits cards on table,Playing Instrument,Essential Operation,Core manual task involving active hand movement.,silver,4,r002,hits cards on table,7,no,,no,0,0,0.0,20,1,2026-03-02T23:34:21.402688Z,2026-03-02T23:34:21.402703Z,1.597,Gold,1020,2,20,,
10959,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,850.2959927880181,#O person X arranges cards,Playing Instrument,Object Transfer,"Logistics step involving arranging cards, short bursts of hand activity.",silver,4,r002,person x arranges cards,3,no,,no,0,0,0.0,21,1,2026-03-02T23:34:25.125261Z,2026-03-02T23:34:25.125276Z,2.801,Gold,1021,2,21,,
10960,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,859.5155027880182,#O person X arranges cards,Playing Instrument,Stationary,"The action involves arranging cards, which is a low-energy activity with minimal body movement.",silver,4,r002,person x arranges cards,3,no,,no,0,0,0.0,22,1,2026-03-02T23:34:32.052485Z,2026-03-02T23:34:32.052499Z,6.049,Bad,1022,2,22,Object Transfer,
1060,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,934.0737027880182,#C C stares at card,Playing Instrument,Stationary,"Low body/hand motion, likely focused gaze.",silver,4,r002,stares at card,12,no,,no,0,0,0.0,23,1,2026-03-02T23:34:37.813394Z,2026-03-02T23:34:37.813411Z,3.965,Bad,1023,2,23,Search,
107,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1080.6759661213514,#C C turns cards,Playing Instrument,Stationary,"The action 'turns cards' suggests a low-energy, stationary activity with minimal body movement.",silver,4,r002,turns cards,39,no,,no,0,0,0.0,24,1,2026-03-02T23:34:41.783321Z,2026-03-02T23:34:41.783334Z,2.72,Bad,1024,2,24,Object Transfer,
